county,precinct,office,district,party,candidate,absentee,election_date,votes
Clinton,BLOOMFIELD BROOKFIELD DEL,President/Vice President,,Republican,Mitt Romney Paul Ryan,84.0,197.0,281.0
Clinton,BLOOMFIELD BROOKFIELD DEL,President/Vice President,,Democratic,Barack Obama Joe Biden,106.0,249.0,355.0
Clinton,BLOOMFIELD BROOKFIELD DEL,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,0.0,0.0
Clinton,BLOOMFIELD BROOKFIELD DEL,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,2.0,0.0,2.0
Clinton,BLOOMFIELD BROOKFIELD DEL,President/Vice President,,Libertarian,Gary Johnson James P. Gray,0.0,1.0,1.0
Clinton,BLOOMFIELD BROOKFIELD DEL,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Clinton,BLOOMFIELD BROOKFIELD DEL,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Clinton,BLOOMFIELD BROOKFIELD DEL,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,1.0,1.0
Clinton,BLOOMFIELD BROOKFIELD DEL,President/Vice President,,,Write-In,0.0,1.0,1.0
Clinton,BLOOMFIELD BROOKFIELD DEL,President/Vice President,,,Under Votes,1.0,1.0,2.0
Clinton,BLOOMFIELD BROOKFIELD DEL,President/Vice President,,,Over Votes,0.0,0.0,0.0
Clinton,CAMANCHE 1,President/Vice President,,Republican,Mitt Romney Paul Ryan,167.0,279.0,446.0
Clinton,CAMANCHE 1,President/Vice President,,Democratic,Barack Obama Joe Biden,420.0,396.0,816.0
Clinton,CAMANCHE 1,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,4.0,4.0
Clinton,CAMANCHE 1,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,0.0,1.0
Clinton,CAMANCHE 1,President/Vice President,,Libertarian,Gary Johnson James P. Gray,2.0,9.0,11.0
Clinton,CAMANCHE 1,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Clinton,CAMANCHE 1,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,1.0,0.0,1.0
Clinton,CAMANCHE 1,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,1.0,0.0,1.0
Clinton,CAMANCHE 1,President/Vice President,,,Write-In,1.0,5.0,6.0
