county,precinct,office,district,party,candidate,absentee,election_date,votes
Marion,Clay,President/Vice President,,Republican,Mitt Romney Paul Ryan,78.0,198.0,276.0
Marion,Clay,President/Vice President,,Democratic,Barack Obama Joe Biden,80.0,126.0,206.0
Marion,Clay,President/Vice President,,Constitution,Virgil Goode James Clymer,1.0,0.0,1.0
Marion,Clay,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,0.0,0.0
Marion,Clay,President/Vice President,,Libertarian,Gary Johnson James P. Gray,1.0,2.0,3.0
Marion,Clay,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Marion,Clay,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Marion,Clay,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,1.0,0.0,1.0
Marion,Clay,President/Vice President,,,Write-In,1.0,3.0,4.0
Marion,Clay,President/Vice President,,,Under Votes,0.0,1.0,1.0
Marion,Clay,President/Vice President,,,Over Votes,0.0,0.0,0.0
Marion,Dallas,President/Vice President,,Republican,Mitt Romney Paul Ryan,99.0,213.0,312.0
Marion,Dallas,President/Vice President,,Democratic,Barack Obama Joe Biden,174.0,322.0,496.0
Marion,Dallas,President/Vice President,,Constitution,Virgil Goode James Clymer,2.0,0.0,2.0
Marion,Dallas,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,1.0,2.0
Marion,Dallas,President/Vice President,,Libertarian,Gary Johnson James P. Gray,1.0,5.0,6.0
Marion,Dallas,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,2.0,2.0
Marion,Dallas,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,1.0,1.0,2.0
Marion,Dallas,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,1.0,0.0,1.0
Marion,Dallas,President/Vice President,,,Write-In,1.0,4.0,5.0
Marion,Dallas,President/Vice President,,,Under Votes,2.0,1.0,3.0
Marion,Dallas,President/Vice President,,,Over Votes,1.0,0.0,1.0
Marion,Indiana Township,President/Vice President,,Republican,Mitt Romney Paul Ryan,85.0,92.0,177.0
Marion,Indiana Township,President/Vice President,,Democratic,Barack Obama Joe Biden,109.0,99.0,208.0
Marion,Indiana Township,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,1.0,1.0
Marion,Indiana Township,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,0.0,1.0
Marion,Indiana Township,President/Vice President,,Libertarian,Gary Johnson James P. Gray,0.0,2.0,2.0
Marion,Indiana Township,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Marion,Indiana Township,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Marion,Indiana Township,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Marion,Indiana Township,President/Vice President,,,Write-In,0.0,1.0,1.0
Marion,Indiana Township,President/Vice President,,,Under Votes,2.0,0.0,2.0
Marion,Indiana Township,President/Vice President,,,Over Votes,0.0,0.0,0.0
Marion,Knoxville Four,President/Vice President,,Republican,Mitt Romney Paul Ryan,152.0,162.0,314.0
Marion,Knoxville Four,President/Vice President,,Democratic,Barack Obama Joe Biden,240.0,150.0,390.0
Marion,Knoxville Four,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,2.0,2.0
