county,precinct,office,district,party,candidate,absentee,election_date,votes
Ida,City of Arthur,President/Vice President,,Republican,Mitt Romney Paul Ryan,78.0,189.0,267.0
Ida,City of Arthur,President/Vice President,,Democratic,Barack Obama Joe Biden,37.0,92.0,129.0
Ida,City of Arthur,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,1.0,1.0
Ida,City of Arthur,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,1.0,1.0,2.0
Ida,City of Arthur,President/Vice President,,Libertarian,Gary Johnson James P. Gray,0.0,4.0,4.0
Ida,City of Arthur,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Ida,City of Arthur,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Ida,City of Arthur,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Ida,City of Arthur,President/Vice President,,,Write-In,0.0,4.0,4.0
Ida,City of Arthur,President/Vice President,,,Under Votes,1.0,4.0,5.0
Ida,City of Arthur,President/Vice President,,,Over Votes,0.0,0.0,0.0
Ida,City of Battle Creek & Grant Twp,President/Vice President,,Republican,Mitt Romney Paul Ryan,153.0,354.0,507.0
Ida,City of Battle Creek & Grant Twp,President/Vice President,,Democratic,Barack Obama Joe Biden,114.0,192.0,306.0
Ida,City of Battle Creek & Grant Twp,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,2.0,2.0
Ida,City of Battle Creek & Grant Twp,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,3.0,3.0
Ida,City of Battle Creek & Grant Twp,President/Vice President,,Libertarian,Gary Johnson James P. Gray,1.0,3.0,4.0
Ida,City of Battle Creek & Grant Twp,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Ida,City of Battle Creek & Grant Twp,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,1.0,1.0
Ida,City of Battle Creek & Grant Twp,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Ida,City of Battle Creek & Grant Twp,President/Vice President,,,Write-In,0.0,3.0,3.0
Ida,City of Battle Creek & Grant Twp,President/Vice President,,,Under Votes,2.0,3.0,5.0
Ida,City of Battle Creek & Grant Twp,President/Vice President,,,Over Votes,0.0,0.0,0.0
Ida,City of Galva,President/Vice President,,Republican,Mitt Romney Paul Ryan,33.0,155.0,188.0
Ida,City of Galva,President/Vice President,,Democratic,Barack Obama Joe Biden,23.0,51.0,74.0
Ida,City of Galva,President/Vice President,,Constitution,Virgil Goode James Clymer,0.0,1.0,1.0
Ida,City of Galva,President/Vice President,,Iowa Green Party,Jill Stein Cheri Honkala,0.0,0.0,0.0
Ida,City of Galva,President/Vice President,,Libertarian,Gary Johnson James P. Gray,0.0,0.0,0.0
Ida,City of Galva,President/Vice President,,Party for Socialism and Liberation,Gloria LaRiva Stefanie Beacham,0.0,0.0,0.0
Ida,City of Galva,President/Vice President,,Socialist Workers Party,James Harris Alyson Kennedy,0.0,0.0,0.0
Ida,City of Galva,President/Vice President,,Nominated by Petition,Jerry Litzel Jim Litzel,0.0,0.0,0.0
Ida,City of Galva,President/Vice President,,,Write-In,1.0,3.0,4.0
Ida,City of Galva,President/Vice President,,,Under Votes,0.0,0.0,0.0
Ida,City of Galva,President/Vice President,,,Over Votes,0.0,0.0,0.0
Ida,City of Holstein,President/Vice President,,Republican,Mitt Romney Paul Ryan,139.0,440.0,579.0
