county,precinct,office,district,party,candidate,votes,election_day,absentee
O'Brien,Carroll-Floyd,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,344,179,165
O'Brien,Franklin,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,700,453,247
O'Brien,Hartley-Lincoln-Omega,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,858,541,317
O'Brien,Sheldon 1st Ward,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,848,388,460
O'Brien,Sheldon 2nd Ward,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,612,373,239
O'Brien,Sheldon 3rd Ward,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,571,374,197
O'Brien,Summit-Center-Dale-Highland,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,653,286,367
O'Brien,Union-Baker-Caledonia,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,737,438,299
O'Brien,Waterman-Grant-Liberty,President and Vice President,,REP,Donald J. Trump and Michael R. Pence,538,347,191
O'Brien,Carroll-Floyd,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,66,18,48
O'Brien,Franklin,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,128,33,95
O'Brien,Hartley-Lincoln-Omega,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,279,71,208
O'Brien,Sheldon 1st Ward,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,205,47,158
O'Brien,Sheldon 2nd Ward,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,174,63,111
O'Brien,Sheldon 3rd Ward,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,135,57,78
O'Brien,Summit-Center-Dale-Highland,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,211,43,168
O'Brien,Union-Baker-Caledonia,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,206,58,148
O'Brien,Waterman-Grant-Liberty,President and Vice President,,DEM,Joseph R. Biden and Kamala D. Harris,165,55,110
O'Brien,Carroll-Floyd,President and Vice President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,2,1,1
O'Brien,Franklin,President and Vice President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
O'Brien,Hartley-Lincoln-Omega,President and Vice President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
O'Brien,Sheldon 1st Ward,President and Vice President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
O'Brien,Sheldon 2nd Ward,President and Vice President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,2,0,2
O'Brien,Sheldon 3rd Ward,President and Vice President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
O'Brien,Summit-Center-Dale-Highland,President and Vice President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,1,1,0
O'Brien,Union-Baker-Caledonia,President and Vice President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,1,0,1
O'Brien,Waterman-Grant-Liberty,President and Vice President,,ALL,Roque Rocky De La Fuente and Darcy G. Richardson,0,0,0
O'Brien,Carroll-Floyd,President and Vice President,,CON,Don Blankenship and William Alan Mohr,0,0,0
O'Brien,Franklin,President and Vice President,,CON,Don Blankenship and William Alan Mohr,0,0,0
O'Brien,Hartley-Lincoln-Omega,President and Vice President,,CON,Don Blankenship and William Alan Mohr,2,1,1
O'Brien,Sheldon 1st Ward,President and Vice President,,CON,Don Blankenship and William Alan Mohr,0,0,0
O'Brien,Sheldon 2nd Ward,President and Vice President,,CON,Don Blankenship and William Alan Mohr,0,0,0
O'Brien,Sheldon 3rd Ward,President and Vice President,,CON,Don Blankenship and William Alan Mohr,1,0,1
O'Brien,Summit-Center-Dale-Highland,President and Vice President,,CON,Don Blankenship and William Alan Mohr,3,1,2
O'Brien,Union-Baker-Caledonia,President and Vice President,,CON,Don Blankenship and William Alan Mohr,0,0,0
O'Brien,Waterman-Grant-Liberty,President and Vice President,,CON,Don Blankenship and William Alan Mohr,1,1,0
O'Brien,Carroll-Floyd,President and Vice President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
O'Brien,Franklin,President and Vice President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
O'Brien,Hartley-Lincoln-Omega,President and Vice President,,GKH,Ricki Sue King and Dayna R. Chandler,1,1,0
O'Brien,Sheldon 1st Ward,President and Vice President,,GKH,Ricki Sue King and Dayna R. Chandler,1,1,0
O'Brien,Sheldon 2nd Ward,President and Vice President,,GKH,Ricki Sue King and Dayna R. Chandler,1,0,1
O'Brien,Sheldon 3rd Ward,President and Vice President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
O'Brien,Summit-Center-Dale-Highland,President and Vice President,,GKH,Ricki Sue King and Dayna R. Chandler,0,0,0
