county,precinct,office,district,candidate,party,votes,absentee,election_day
Cerro Gordo,Clear Lake Ward 1,President,,Donald J. Trump and Michael R. Pence,REP,935,445,490
Cerro Gordo,Clear Lake Ward 2,President,,Donald J. Trump and Michael R. Pence,REP,959,429,530
Cerro Gordo,Clear Lake Ward 3,President,,Donald J. Trump and Michael R. Pence,REP,846,340,506
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,President,,Donald J. Trump and Michael R. Pence,REP,919,362,557
Cerro Gordo,Falls Twp - Plymouth Pct,President,,Donald J. Trump and Michael R. Pence,REP,217,56,161
Cerro Gordo,Falls Twp - Rock Falls Pct,President,,Donald J. Trump and Michael R. Pence,REP,140,52,88
Cerro Gordo,Geneseo Twp Pct,President,,Donald J. Trump and Michael R. Pence,REP,441,109,332
Cerro Gordo,Grimes Twp - Meservey Pct,President,,Donald J. Trump and Michael R. Pence,REP,100,25,75
Cerro Gordo,Grimes Twp - Thornton Pct,President,,Donald J. Trump and Michael R. Pence,REP,165,37,128
Cerro Gordo,Lake / Lincoln Twps Pct,President,,Donald J. Trump and Michael R. Pence,REP,220,95,125
Cerro Gordo,Lime Creek / Mason North Twps Pct,President,,Donald J. Trump and Michael R. Pence,REP,200,119,81
Cerro Gordo,Mason City W-1 P-1,President,,Donald J. Trump and Michael R. Pence,REP,330,184,146
Cerro Gordo,Mason City W-1 P-2,President,,Donald J. Trump and Michael R. Pence,REP,554,239,315
Cerro Gordo,Mason City W-1 P-3,President,,Donald J. Trump and Michael R. Pence,REP,668,331,337
Cerro Gordo,Mason City W-2 P-1,President,,Donald J. Trump and Michael R. Pence,REP,336,187,149
Cerro Gordo,Mason City W-2 P-2,President,,Donald J. Trump and Michael R. Pence,REP,723,428,295
Cerro Gordo,Mason City W-2 P-3,President,,Donald J. Trump and Michael R. Pence,REP,440,182,258
Cerro Gordo,Mason City W-3 P-1,President,,Donald J. Trump and Michael R. Pence,REP,497,255,242
Cerro Gordo,Mason City W-3 P-2,President,,Donald J. Trump and Michael R. Pence,REP,452,221,231
Cerro Gordo,Mason City W-3 P-3,President,,Donald J. Trump and Michael R. Pence,REP,877,454,423
Cerro Gordo,Mason City W-4 P-1,President,,Donald J. Trump and Michael R. Pence,REP,355,190,165
Cerro Gordo,Mason City W-4 P-2,President,,Donald J. Trump and Michael R. Pence,REP,538,225,313
Cerro Gordo,Mason City W-4 P-3,President,,Donald J. Trump and Michael R. Pence,REP,675,372,303
Cerro Gordo,Mason South / Bath Twps Pct,President,,Donald J. Trump and Michael R. Pence,REP,261,145,116
Cerro Gordo,Mt Vernon / Pleasant Valley Twps Pct,President,,Donald J. Trump and Michael R. Pence,REP,255,78,177
Cerro Gordo,Portland / Owen / Dougherty Twps Pct,President,,Donald J. Trump and Michael R. Pence,REP,339,119,220
Cerro Gordo,Clear Lake Ward 1,President,,Joseph R. Biden and Kamala D. Harris,DEM,623,472,151
Cerro Gordo,Clear Lake Ward 2,President,,Joseph R. Biden and Kamala D. Harris,DEM,681,512,169
Cerro Gordo,Clear Lake Ward 3,President,,Joseph R. Biden and Kamala D. Harris,DEM,596,417,179
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,President,,Joseph R. Biden and Kamala D. Harris,DEM,455,330,125
Cerro Gordo,Falls Twp - Plymouth Pct,President,,Joseph R. Biden and Kamala D. Harris,DEM,130,78,52
Cerro Gordo,Falls Twp - Rock Falls Pct,President,,Joseph R. Biden and Kamala D. Harris,DEM,93,64,29
Cerro Gordo,Geneseo Twp Pct,President,,Joseph R. Biden and Kamala D. Harris,DEM,248,140,108
Cerro Gordo,Grimes Twp - Meservey Pct,President,,Joseph R. Biden and Kamala D. Harris,DEM,50,20,30
Cerro Gordo,Grimes Twp - Thornton Pct,President,,Joseph R. Biden and Kamala D. Harris,DEM,81,28,53
Cerro Gordo,Lake / Lincoln Twps Pct,President,,Joseph R. Biden and Kamala D. Harris,DEM,88,62,26
Cerro Gordo,Lime Creek / Mason North Twps Pct,President,,Joseph R. Biden and Kamala D. Harris,DEM,124,97,27
Cerro Gordo,Mason City W-1 P-1,President,,Joseph R. Biden and Kamala D. Harris,DEM,462,357,105
Cerro Gordo,Mason City W-1 P-2,President,,Joseph R. Biden and Kamala D. Harris,DEM,623,468,155
Cerro Gordo,Mason City W-1 P-3,President,,Joseph R. Biden and Kamala D. Harris,DEM,669,519,150
Cerro Gordo,Mason City W-2 P-1,President,,Joseph R. Biden and Kamala D. Harris,DEM,425,300,125
Cerro Gordo,Mason City W-2 P-2,President,,Joseph R. Biden and Kamala D. Harris,DEM,910,713,197
Cerro Gordo,Mason City W-2 P-3,President,,Joseph R. Biden and Kamala D. Harris,DEM,507,336,171
Cerro Gordo,Mason City W-3 P-1,President,,Joseph R. Biden and Kamala D. Harris,DEM,643,509,134
Cerro Gordo,Mason City W-3 P-2,President,,Joseph R. Biden and Kamala D. Harris,DEM,513,369,144
Cerro Gordo,Mason City W-3 P-3,President,,Joseph R. Biden and Kamala D. Harris,DEM,871,699,172
Cerro Gordo,Mason City W-4 P-1,President,,Joseph R. Biden and Kamala D. Harris,DEM,502,375,127
Cerro Gordo,Mason City W-4 P-2,President,,Joseph R. Biden and Kamala D. Harris,DEM,518,352,166
Cerro Gordo,Mason City W-4 P-3,President,,Joseph R. Biden and Kamala D. Harris,DEM,724,590,134
Cerro Gordo,Mason South / Bath Twps Pct,President,,Joseph R. Biden and Kamala D. Harris,DEM,130,108,22
Cerro Gordo,Mt Vernon / Pleasant Valley Twps Pct,President,,Joseph R. Biden and Kamala D. Harris,DEM,117,76,41
Cerro Gordo,Portland / Owen / Dougherty Twps Pct,President,,Joseph R. Biden and Kamala D. Harris,DEM,158,113,45
Cerro Gordo,Clear Lake Ward 1,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,2,1,1
Cerro Gordo,Clear Lake Ward 2,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,3,2,1
Cerro Gordo,Clear Lake Ward 3,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,0,0,0
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,0,0,0
Cerro Gordo,Falls Twp - Plymouth Pct,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,0,0,0
Cerro Gordo,Falls Twp - Rock Falls Pct,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,0,0,0
Cerro Gordo,Geneseo Twp Pct,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,1,0,1
Cerro Gordo,Grimes Twp - Meservey Pct,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,1,0,1
Cerro Gordo,Grimes Twp - Thornton Pct,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,2,0,2
