county,precinct,office,district,candidate,party,votes,absentee,election_day
Cerro Gordo,Lake / Lincoln Twps Pct,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,0,0,0
Cerro Gordo,Lime Creek / Mason North Twps Pct,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,0,0,0
Cerro Gordo,Mason City W-1 P-1,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,1,0,1
Cerro Gordo,Mason City W-1 P-2,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,1,0,1
Cerro Gordo,Mason City W-1 P-3,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,1,1,0
Cerro Gordo,Mason City W-2 P-1,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,3,1,2
Cerro Gordo,Mason City W-2 P-2,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,1,1,0
Cerro Gordo,Mason City W-2 P-3,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,1,0,1
Cerro Gordo,Mason City W-3 P-1,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,1,1,0
Cerro Gordo,Mason City W-3 P-2,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,4,3,1
Cerro Gordo,Mason City W-3 P-3,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,5,3,2
Cerro Gordo,Mason City W-4 P-1,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,2,2,0
Cerro Gordo,Mason City W-4 P-2,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,5,3,2
Cerro Gordo,Mason City W-4 P-3,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,2,1,1
Cerro Gordo,Mason South / Bath Twps Pct,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,0,0,0
Cerro Gordo,Mt Vernon / Pleasant Valley Twps Pct,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,0,0,0
Cerro Gordo,Portland / Owen / Dougherty Twps Pct,President,,Roque Rocky De La Fuente and Darcy G. Richardson,ALL,0,0,0
Cerro Gordo,Clear Lake Ward 1,President,,Don Blankenship and William Alan Mohr,CON,1,1,0
Cerro Gordo,Clear Lake Ward 2,President,,Don Blankenship and William Alan Mohr,CON,1,1,0
Cerro Gordo,Clear Lake Ward 3,President,,Don Blankenship and William Alan Mohr,CON,3,2,1
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,President,,Don Blankenship and William Alan Mohr,CON,2,1,1
Cerro Gordo,Falls Twp - Plymouth Pct,President,,Don Blankenship and William Alan Mohr,CON,1,0,1
Cerro Gordo,Falls Twp - Rock Falls Pct,President,,Don Blankenship and William Alan Mohr,CON,0,0,0
Cerro Gordo,Geneseo Twp Pct,President,,Don Blankenship and William Alan Mohr,CON,0,0,0
Cerro Gordo,Grimes Twp - Meservey Pct,President,,Don Blankenship and William Alan Mohr,CON,0,0,0
Cerro Gordo,Grimes Twp - Thornton Pct,President,,Don Blankenship and William Alan Mohr,CON,0,0,0
Cerro Gordo,Lake / Lincoln Twps Pct,President,,Don Blankenship and William Alan Mohr,CON,1,0,1
Cerro Gordo,Lime Creek / Mason North Twps Pct,President,,Don Blankenship and William Alan Mohr,CON,0,0,0
Cerro Gordo,Mason City W-1 P-1,President,,Don Blankenship and William Alan Mohr,CON,2,2,0
Cerro Gordo,Mason City W-1 P-2,President,,Don Blankenship and William Alan Mohr,CON,2,2,0
Cerro Gordo,Mason City W-1 P-3,President,,Don Blankenship and William Alan Mohr,CON,1,0,1
Cerro Gordo,Mason City W-2 P-1,President,,Don Blankenship and William Alan Mohr,CON,0,0,0
Cerro Gordo,Mason City W-2 P-2,President,,Don Blankenship and William Alan Mohr,CON,1,0,1
Cerro Gordo,Mason City W-2 P-3,President,,Don Blankenship and William Alan Mohr,CON,0,0,0
Cerro Gordo,Mason City W-3 P-1,President,,Don Blankenship and William Alan Mohr,CON,1,1,0
Cerro Gordo,Mason City W-3 P-2,President,,Don Blankenship and William Alan Mohr,CON,1,1,0
Cerro Gordo,Mason City W-3 P-3,President,,Don Blankenship and William Alan Mohr,CON,1,1,0
Cerro Gordo,Mason City W-4 P-1,President,,Don Blankenship and William Alan Mohr,CON,3,3,0
Cerro Gordo,Mason City W-4 P-2,President,,Don Blankenship and William Alan Mohr,CON,3,1,2
Cerro Gordo,Mason City W-4 P-3,President,,Don Blankenship and William Alan Mohr,CON,0,0,0
Cerro Gordo,Mason South / Bath Twps Pct,President,,Don Blankenship and William Alan Mohr,CON,0,0,0
Cerro Gordo,Mt Vernon / Pleasant Valley Twps Pct,President,,Don Blankenship and William Alan Mohr,CON,0,0,0
Cerro Gordo,Portland / Owen / Dougherty Twps Pct,President,,Don Blankenship and William Alan Mohr,CON,1,0,1
Cerro Gordo,Clear Lake Ward 1,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Clear Lake Ward 2,President,,Ricki Sue King and Dayna R. Chandler,GKH,2,1,1
Cerro Gordo,Clear Lake Ward 3,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Falls Twp - Plymouth Pct,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Falls Twp - Rock Falls Pct,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Geneseo Twp Pct,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Grimes Twp - Meservey Pct,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Grimes Twp - Thornton Pct,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Lake / Lincoln Twps Pct,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Lime Creek / Mason North Twps Pct,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Mason City W-1 P-1,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Mason City W-1 P-2,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Mason City W-1 P-3,President,,Ricki Sue King and Dayna R. Chandler,GKH,1,0,1
Cerro Gordo,Mason City W-2 P-1,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Mason City W-2 P-2,President,,Ricki Sue King and Dayna R. Chandler,GKH,1,1,0
Cerro Gordo,Mason City W-2 P-3,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Mason City W-3 P-1,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Mason City W-3 P-2,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Mason City W-3 P-3,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Mason City W-4 P-1,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Mason City W-4 P-2,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Mason City W-4 P-3,President,,Ricki Sue King and Dayna R. Chandler,GKH,1,0,1
Cerro Gordo,Mason South / Bath Twps Pct,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Mt Vernon / Pleasant Valley Twps Pct,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Portland / Owen / Dougherty Twps Pct,President,,Ricki Sue King and Dayna R. Chandler,GKH,0,0,0
Cerro Gordo,Clear Lake Ward 1,President,,Howie Hawkins and Angela Nicole Walker,GRN,0,0,0
Cerro Gordo,Clear Lake Ward 2,President,,Howie Hawkins and Angela Nicole Walker,GRN,3,2,1
Cerro Gordo,Clear Lake Ward 3,President,,Howie Hawkins and Angela Nicole Walker,GRN,2,0,2
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,President,,Howie Hawkins and Angela Nicole Walker,GRN,1,0,1
Cerro Gordo,Falls Twp - Plymouth Pct,President,,Howie Hawkins and Angela Nicole Walker,GRN,0,0,0
Cerro Gordo,Falls Twp - Rock Falls Pct,President,,Howie Hawkins and Angela Nicole Walker,GRN,1,0,1
Cerro Gordo,Geneseo Twp Pct,President,,Howie Hawkins and Angela Nicole Walker,GRN,0,0,0
Cerro Gordo,Grimes Twp - Meservey Pct,President,,Howie Hawkins and Angela Nicole Walker,GRN,0,0,0
Cerro Gordo,Grimes Twp - Thornton Pct,President,,Howie Hawkins and Angela Nicole Walker,GRN,0,0,0
Cerro Gordo,Lake / Lincoln Twps Pct,President,,Howie Hawkins and Angela Nicole Walker,GRN,0,0,0
Cerro Gordo,Lime Creek / Mason North Twps Pct,President,,Howie Hawkins and Angela Nicole Walker,GRN,0,0,0
Cerro Gordo,Mason City W-1 P-1,President,,Howie Hawkins and Angela Nicole Walker,GRN,2,2,0
Cerro Gordo,Mason City W-1 P-2,President,,Howie Hawkins and Angela Nicole Walker,GRN,1,0,1
Cerro Gordo,Mason City W-1 P-3,President,,Howie Hawkins and Angela Nicole Walker,GRN,3,2,1
Cerro Gordo,Mason City W-2 P-1,President,,Howie Hawkins and Angela Nicole Walker,GRN,4,2,2
Cerro Gordo,Mason City W-2 P-2,President,,Howie Hawkins and Angela Nicole Walker,GRN,1,1,0
Cerro Gordo,Mason City W-2 P-3,President,,Howie Hawkins and Angela Nicole Walker,GRN,1,0,1
Cerro Gordo,Mason City W-3 P-1,President,,Howie Hawkins and Angela Nicole Walker,GRN,3,3,0
Cerro Gordo,Mason City W-3 P-2,President,,Howie Hawkins and Angela Nicole Walker,GRN,1,0,1
Cerro Gordo,Mason City W-3 P-3,President,,Howie Hawkins and Angela Nicole Walker,GRN,4,3,1
Cerro Gordo,Mason City W-4 P-1,President,,Howie Hawkins and Angela Nicole Walker,GRN,3,2,1
Cerro Gordo,Mason City W-4 P-2,President,,Howie Hawkins and Angela Nicole Walker,GRN,3,2,1
Cerro Gordo,Mason City W-4 P-3,President,,Howie Hawkins and Angela Nicole Walker,GRN,3,2,1
Cerro Gordo,Mason South / Bath Twps Pct,President,,Howie Hawkins and Angela Nicole Walker,GRN,1,0,1
Cerro Gordo,Mt Vernon / Pleasant Valley Twps Pct,President,,Howie Hawkins and Angela Nicole Walker,GRN,1,0,1
Cerro Gordo,Portland / Owen / Dougherty Twps Pct,President,,Howie Hawkins and Angela Nicole Walker,GRN,4,4,0
Cerro Gordo,Clear Lake Ward 1,President,,Jo Jorgensen and Jeremy Cohen,LIB,11,7,4
Cerro Gordo,Clear Lake Ward 2,President,,Jo Jorgensen and Jeremy Cohen,LIB,18,5,13
Cerro Gordo,Clear Lake Ward 3,President,,Jo Jorgensen and Jeremy Cohen,LIB,12,4,8
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,President,,Jo Jorgensen and Jeremy Cohen,LIB,10,3,7
Cerro Gordo,Falls Twp - Plymouth Pct,President,,Jo Jorgensen and Jeremy Cohen,LIB,1,0,1
Cerro Gordo,Falls Twp - Rock Falls Pct,President,,Jo Jorgensen and Jeremy Cohen,LIB,1,0,1
Cerro Gordo,Geneseo Twp Pct,President,,Jo Jorgensen and Jeremy Cohen,LIB,3,1,2
Cerro Gordo,Grimes Twp - Meservey Pct,President,,Jo Jorgensen and Jeremy Cohen,LIB,2,2,0
Cerro Gordo,Grimes Twp - Thornton Pct,President,,Jo Jorgensen and Jeremy Cohen,LIB,3,2,1
Cerro Gordo,Lake / Lincoln Twps Pct,President,,Jo Jorgensen and Jeremy Cohen,LIB,0,0,0
Cerro Gordo,Lime Creek / Mason North Twps Pct,President,,Jo Jorgensen and Jeremy Cohen,LIB,3,1,2
Cerro Gordo,Mason City W-1 P-1,President,,Jo Jorgensen and Jeremy Cohen,LIB,8,3,5
Cerro Gordo,Mason City W-1 P-2,President,,Jo Jorgensen and Jeremy Cohen,LIB,14,3,11
Cerro Gordo,Mason City W-1 P-3,President,,Jo Jorgensen and Jeremy Cohen,LIB,17,8,9
Cerro Gordo,Mason City W-2 P-1,President,,Jo Jorgensen and Jeremy Cohen,LIB,13,6,7
Cerro Gordo,Mason City W-2 P-2,President,,Jo Jorgensen and Jeremy Cohen,LIB,6,5,1
Cerro Gordo,Mason City W-2 P-3,President,,Jo Jorgensen and Jeremy Cohen,LIB,3,1,2
Cerro Gordo,Mason City W-3 P-1,President,,Jo Jorgensen and Jeremy Cohen,LIB,9,5,4
Cerro Gordo,Mason City W-3 P-2,President,,Jo Jorgensen and Jeremy Cohen,LIB,10,5,5
Cerro Gordo,Mason City W-3 P-3,President,,Jo Jorgensen and Jeremy Cohen,LIB,20,5,15
Cerro Gordo,Mason City W-4 P-1,President,,Jo Jorgensen and Jeremy Cohen,LIB,6,3,3
Cerro Gordo,Mason City W-4 P-2,President,,Jo Jorgensen and Jeremy Cohen,LIB,4,2,2
Cerro Gordo,Mason City W-4 P-3,President,,Jo Jorgensen and Jeremy Cohen,LIB,13,8,5
Cerro Gordo,Mason South / Bath Twps Pct,President,,Jo Jorgensen and Jeremy Cohen,LIB,3,2,1
Cerro Gordo,Mt Vernon / Pleasant Valley Twps Pct,President,,Jo Jorgensen and Jeremy Cohen,LIB,4,2,2
Cerro Gordo,Portland / Owen / Dougherty Twps Pct,President,,Jo Jorgensen and Jeremy Cohen,LIB,2,0,2
Cerro Gordo,Clear Lake Ward 1,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Clear Lake Ward 2,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Clear Lake Ward 3,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Falls Twp - Plymouth Pct,President,,Brock Pierce and Karla Ballard,,1,1,0
Cerro Gordo,Falls Twp - Rock Falls Pct,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Geneseo Twp Pct,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Grimes Twp - Meservey Pct,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Grimes Twp - Thornton Pct,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Lake / Lincoln Twps Pct,President,,Brock Pierce and Karla Ballard,,1,0,1
Cerro Gordo,Lime Creek / Mason North Twps Pct,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Mason City W-1 P-1,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Mason City W-1 P-2,President,,Brock Pierce and Karla Ballard,,1,1,0
Cerro Gordo,Mason City W-1 P-3,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Mason City W-2 P-1,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Mason City W-2 P-2,President,,Brock Pierce and Karla Ballard,,1,0,1
Cerro Gordo,Mason City W-2 P-3,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Mason City W-3 P-1,President,,Brock Pierce and Karla Ballard,,2,2,0
Cerro Gordo,Mason City W-3 P-2,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Mason City W-3 P-3,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Mason City W-4 P-1,President,,Brock Pierce and Karla Ballard,,1,0,1
Cerro Gordo,Mason City W-4 P-2,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Mason City W-4 P-3,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Mason South / Bath Twps Pct,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Mt Vernon / Pleasant Valley Twps Pct,President,,Brock Pierce and Karla Ballard,,2,0,2
Cerro Gordo,Portland / Owen / Dougherty Twps Pct,President,,Brock Pierce and Karla Ballard,,0,0,0
Cerro Gordo,Clear Lake Ward 1,President,,Kanye West and Michelle Tidball,,3,1,2
Cerro Gordo,Clear Lake Ward 2,President,,Kanye West and Michelle Tidball,,1,1,0
Cerro Gordo,Clear Lake Ward 3,President,,Kanye West and Michelle Tidball,,2,0,2
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,President,,Kanye West and Michelle Tidball,,2,1,1
Cerro Gordo,Falls Twp - Plymouth Pct,President,,Kanye West and Michelle Tidball,,0,0,0
Cerro Gordo,Falls Twp - Rock Falls Pct,President,,Kanye West and Michelle Tidball,,0,0,0
Cerro Gordo,Geneseo Twp Pct,President,,Kanye West and Michelle Tidball,,3,1,2
Cerro Gordo,Grimes Twp - Meservey Pct,President,,Kanye West and Michelle Tidball,,0,0,0
Cerro Gordo,Grimes Twp - Thornton Pct,President,,Kanye West and Michelle Tidball,,0,0,0
Cerro Gordo,Lake / Lincoln Twps Pct,President,,Kanye West and Michelle Tidball,,1,0,1
Cerro Gordo,Lime Creek / Mason North Twps Pct,President,,Kanye West and Michelle Tidball,,2,2,0
Cerro Gordo,Mason City W-1 P-1,President,,Kanye West and Michelle Tidball,,3,1,2
Cerro Gordo,Mason City W-1 P-2,President,,Kanye West and Michelle Tidball,,5,2,3
Cerro Gordo,Mason City W-1 P-3,President,,Kanye West and Michelle Tidball,,3,0,3
Cerro Gordo,Mason City W-2 P-1,President,,Kanye West and Michelle Tidball,,3,2,1
Cerro Gordo,Mason City W-2 P-2,President,,Kanye West and Michelle Tidball,,2,1,1
Cerro Gordo,Mason City W-2 P-3,President,,Kanye West and Michelle Tidball,,2,0,2
Cerro Gordo,Mason City W-3 P-1,President,,Kanye West and Michelle Tidball,,2,2,0
Cerro Gordo,Mason City W-3 P-2,President,,Kanye West and Michelle Tidball,,6,3,3
Cerro Gordo,Mason City W-3 P-3,President,,Kanye West and Michelle Tidball,,2,1,1
Cerro Gordo,Mason City W-4 P-1,President,,Kanye West and Michelle Tidball,,3,1,2
Cerro Gordo,Mason City W-4 P-2,President,,Kanye West and Michelle Tidball,,0,0,0
Cerro Gordo,Mason City W-4 P-3,President,,Kanye West and Michelle Tidball,,1,0,1
Cerro Gordo,Mason South / Bath Twps Pct,President,,Kanye West and Michelle Tidball,,2,2,0
Cerro Gordo,Mt Vernon / Pleasant Valley Twps Pct,President,,Kanye West and Michelle Tidball,,0,0,0
Cerro Gordo,Portland / Owen / Dougherty Twps Pct,President,,Kanye West and Michelle Tidball,,0,0,0
Cerro Gordo,Clear Lake Ward 1,President,,Write-in,,4,2,2
Cerro Gordo,Clear Lake Ward 2,President,,Write-in,,7,6,1
Cerro Gordo,Clear Lake Ward 3,President,,Write-in,,4,3,1
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,President,,Write-in,,7,3,4
Cerro Gordo,Falls Twp - Plymouth Pct,President,,Write-in,,0,0,0
Cerro Gordo,Falls Twp - Rock Falls Pct,President,,Write-in,,0,0,0
Cerro Gordo,Geneseo Twp Pct,President,,Write-in,,2,0,2
Cerro Gordo,Grimes Twp - Meservey Pct,President,,Write-in,,0,0,0
Cerro Gordo,Grimes Twp - Thornton Pct,President,,Write-in,,0,0,0
Cerro Gordo,Lake / Lincoln Twps Pct,President,,Write-in,,0,0,0
Cerro Gordo,Lime Creek / Mason North Twps Pct,President,,Write-in,,0,0,0
Cerro Gordo,Mason City W-1 P-1,President,,Write-in,,3,2,1
Cerro Gordo,Mason City W-1 P-2,President,,Write-in,,3,1,2
Cerro Gordo,Mason City W-1 P-3,President,,Write-in,,3,2,1
Cerro Gordo,Mason City W-2 P-1,President,,Write-in,,2,2,0
Cerro Gordo,Mason City W-2 P-2,President,,Write-in,,4,2,2
Cerro Gordo,Mason City W-2 P-3,President,,Write-in,,1,1,0
Cerro Gordo,Mason City W-3 P-1,President,,Write-in,,1,1,0
Cerro Gordo,Mason City W-3 P-2,President,,Write-in,,1,1,0
Cerro Gordo,Mason City W-3 P-3,President,,Write-in,,4,2,2
Cerro Gordo,Mason City W-4 P-1,President,,Write-in,,2,1,1
Cerro Gordo,Mason City W-4 P-2,President,,Write-in,,4,4,0
Cerro Gordo,Mason City W-4 P-3,President,,Write-in,,4,1,3
Cerro Gordo,Mason South / Bath Twps Pct,President,,Write-in,,0,0,0
Cerro Gordo,Mt Vernon / Pleasant Valley Twps Pct,President,,Write-in,,1,1,0
Cerro Gordo,Portland / Owen / Dougherty Twps Pct,President,,Write-in,,0,0,0
Cerro Gordo,Clear Lake Ward 1,U.S. Senate,,Joni Ernst,REP,915,441,474
Cerro Gordo,Clear Lake Ward 2,U.S. Senate,,Joni Ernst,REP,907,405,502
Cerro Gordo,Clear Lake Ward 3,U.S. Senate,,Joni Ernst,REP,783,322,461
Cerro Gordo,Clear Lake / Grant / Union Twps Pct,U.S. Senate,,Joni Ernst,REP,879,363,516
