office,district,candidate,party,reporting_level,jurisdiction,county,votes
State Representative,33,Kirsten Running,DEM,precinct,CR 1 Grant Wood AEA,Linn,35
State Representative,33,Kirsten Running,DEM,precinct,CR 2 Four Oaks Smith Center,Linn,63
State Representative,33,Kirsten Running,DEM,precinct,CR 3 Hope Lutheran Church,Linn,122
State Representative,33,Kirsten Running,DEM,precinct,CR 4 African American Historical Museum,Linn,77
State Representative,33,Kirsten Running,DEM,precinct,CF 5 First Lutheran Church,Linn,9
State Representative,33,Kirsten Running,DEM,precinct,CF 6 First Presbyterian Church,Linn,11
State Representative,33,Kirsten Running,DEM,precinct,CR 7 Linn County Election Depot,Linn,59
State Representative,33,Kirsten Running,DEM,precinct,CR 8 New Creation United Methodist Church,Linn,61
State Representative,33,Kirsten Running,DEM,precinct,CR 9 Linn County West Board Room,Linn,73
State Representative,33,Kirsten Running,DEM,precinct,CR 10 Moose Lodge,Linn,80
State Representative,33,Kirsten Running,DEM,precinct,CR 11 Cleveland Elementary School,Linn,86
State Representative,33,Kirsten Running,DEM,precinct,Absentee,Linn,851
State Representative,33,Joshua Thurston,REP,precinct,CR 1 Grant Wood AEA,Linn,25
State Representative,33,Joshua Thurston,REP,precinct,CR 2 Four Oaks Smith Center,Linn,16
State Representative,33,Joshua Thurston,REP,precinct,CR 3 Hope Lutheran Church,Linn,49
State Representative,33,Joshua Thurston,REP,precinct,CR 4 African American Historical Museum,Linn,16
State Representative,33,Joshua Thurston,REP,precinct,CF 5 First Lutheran Church,Linn,1
State Representative,33,Joshua Thurston,REP,precinct,CF 6 First Presbyterian Church,Linn,4
State Representative,33,Joshua Thurston,REP,precinct,CR 7 Linn County Election Depot,Linn,22
State Representative,33,Joshua Thurston,REP,precinct,CR 8 New Creation United Methodist Church,Linn,35
State Representative,33,Joshua Thurston,REP,precinct,CR 9 Linn County West Board Room,Linn,51
State Representative,33,Joshua Thurston,REP,precinct,CR 10 Moose Lodge,Linn,39
State Representative,33,Joshua Thurston,REP,precinct,CR 11 Cleveland Elementary School,Linn,90
State Representative,33,Joshua Thurston,REP,precinct,Absentee,Linn,72
State Representative,33,Write-In,,precinct,CR 1 Grant Wood AEA,Linn,0
State Representative,33,Write-In,,precinct,CR 2 Four Oaks Smith Center,Linn,0
State Representative,33,Write-In,,precinct,CR 3 Hope Lutheran Church,Linn,1
State Representative,33,Write-In,,precinct,CR 4 African American Historical Museum,Linn,0
State Representative,33,Write-In,,precinct,CF 5 First Lutheran Church,Linn,0
State Representative,33,Write-In,,precinct,CF 6 First Presbyterian Church,Linn,0
State Representative,33,Write-In,,precinct,CR 7 Linn County Election Depot,Linn,2
State Representative,33,Write-In,,precinct,CR 8 New Creation United Methodist Church,Linn,0
State Representative,33,Write-In,,precinct,CR 9 Linn County West Board Room,Linn,0
State Representative,33,Write-In,,precinct,CR 10 Moose Lodge,Linn,0
State Representative,33,Write-In,,precinct,CR 11 Cleveland Elementary School,Linn,0
State Representative,33,Write-In,,precinct,Absentee,Linn,3
