county,precinct,office,district,party,candidate,absentee,polling,votes
Taylor,Bedford Legion,U.S. Senator,,Rep,Sam Clovis,,,3.0
Taylor,Blockton Community Center,U.S. Senator,,Rep,Sam Clovis,0.0,3.0,3.0
Taylor,Clearfield City Hall,U.S. Senator,,Rep,Sam Clovis,0.0,2.0,2.0
Taylor,Courthouse,U.S. Senator,,Rep,Sam Clovis,1.0,6.0,7.0
Taylor,Gravity Fire Station,U.S. Senator,,Rep,Sam Clovis,1.0,4.0,5.0
Taylor,Lenox Community Center,U.S. Senator,,Rep,Sam Clovis,1.0,5.0,6.0
Taylor,New Market Community Center,U.S. Senator,,Rep,Sam Clovis,0.0,1.0,1.0
Taylor,,U.S. Senator,,Rep,Sam Clovis,,,27.0
Taylor,Bedford Legion,U.S. Senator,,Rep,Joni Ernst,,,47.0
Taylor,Blockton Community Center,U.S. Senator,,Rep,Joni Ernst,4.0,47.0,51.0
Taylor,Clearfield City Hall,U.S. Senator,,Rep,Joni Ernst,0.0,27.0,27.0
Taylor,Courthouse,U.S. Senator,,Rep,Joni Ernst,13.0,84.0,97.0
Taylor,Gravity Fire Station,U.S. Senator,,Rep,Joni Ernst,2.0,40.0,42.0
Taylor,Lenox Community Center,U.S. Senator,,Rep,Joni Ernst,7.0,94.0,101.0
Taylor,New Market Community Center,U.S. Senator,,Rep,Joni Ernst,7.0,46.0,53.0
Taylor,,U.S. Senator,,Rep,Joni Ernst,,,424.0
Taylor,Bedford Legion,U.S. Senator,,Rep,Mark Jacobs,,,1.0
Taylor,Blockton Community Center,U.S. Senator,,Rep,Mark Jacobs,1.0,4.0,5.0
Taylor,Clearfield City Hall,U.S. Senator,,Rep,Mark Jacobs,1.0,1.0,2.0
Taylor,Courthouse,U.S. Senator,,Rep,Mark Jacobs,2.0,3.0,5.0
Taylor,Gravity Fire Station,U.S. Senator,,Rep,Mark Jacobs,2.0,1.0,3.0
Taylor,Lenox Community Center,U.S. Senator,,Rep,Mark Jacobs,0.0,9.0,9.0
Taylor,New Market Community Center,U.S. Senator,,Rep,Mark Jacobs,1.0,1.0,2.0
Taylor,,U.S. Senator,,Rep,Mark Jacobs,,,27.0
Taylor,Bedford Legion,U.S. Senator,,Rep,Scott Schaben,,,1.0
Taylor,Blockton Community Center,U.S. Senator,,Rep,Scott Schaben,0.0,0.0,0.0
Taylor,Clearfield City Hall,U.S. Senator,,Rep,Scott Schaben,0.0,1.0,1.0
Taylor,Courthouse,U.S. Senator,,Rep,Scott Schaben,0.0,0.0,0.0
Taylor,Gravity Fire Station,U.S. Senator,,Rep,Scott Schaben,0.0,0.0,0.0
Taylor,Lenox Community Center,U.S. Senator,,Rep,Scott Schaben,0.0,2.0,2.0
Taylor,New Market Community Center,U.S. Senator,,Rep,Scott Schaben,0.0,0.0,0.0
Taylor,,U.S. Senator,,Rep,Scott Schaben,,,4.0
Taylor,Bedford Legion,U.S. Senator,,Rep,Matt Whitaker,,,1.0
Taylor,Blockton Community Center,U.S. Senator,,Rep,Matt Whitaker,0.0,1.0,1.0
Taylor,Clearfield City Hall,U.S. Senator,,Rep,Matt Whitaker,0.0,2.0,2.0
Taylor,Courthouse,U.S. Senator,,Rep,Matt Whitaker,0.0,2.0,2.0
Taylor,Gravity Fire Station,U.S. Senator,,Rep,Matt Whitaker,0.0,1.0,1.0
Taylor,Lenox Community Center,U.S. Senator,,Rep,Matt Whitaker,0.0,6.0,6.0
Taylor,New Market Community Center,U.S. Senator,,Rep,Matt Whitaker,0.0,0.0,0.0
Taylor,,U.S. Senator,,Rep,Matt Whitaker,,,13.0
Taylor,Bedford Legion,U.S. Senator,,Rep,Write-in,,,0.0
Taylor,Blockton Community Center,U.S. Senator,,Rep,Write-in,1.0,0.0,1.0
Taylor,Clearfield City Hall,U.S. Senator,,Rep,Write-in,0.0,0.0,0.0
Taylor,Courthouse,U.S. Senator,,Rep,Write-in,0.0,0.0,0.0
Taylor,Gravity Fire Station,U.S. Senator,,Rep,Write-in,0.0,0.0,0.0
Taylor,Lenox Community Center,U.S. Senator,,Rep,Write-in,0.0,0.0,0.0
Taylor,New Market Community Center,U.S. Senator,,Rep,Write-in,0.0,0.0,0.0
Taylor,,U.S. Senator,,Rep,Write-in,,,1.0
Taylor,Bedford Legion,U.S. Senator,,Dem,Bruce Braley,,,3.0
Taylor,Blockton Community Center,U.S. Senator,,Dem,Bruce Braley,0.0,8.0,8.0
Taylor,Clearfield City Hall,U.S. Senator,,Dem,Bruce Braley,2.0,6.0,8.0
Taylor,Courthouse,U.S. Senator,,Dem,Bruce Braley,5.0,7.0,12.0
Taylor,Gravity Fire Station,U.S. Senator,,Dem,Bruce Braley,1.0,5.0,6.0
