county,precinct,office,district,party,candidate,absentee,polling,votes
Sac,Auburn,U.S. Senate,,Rep,Sam Clovis,,,18.0
Sac,Early,U.S. Senate,,Rep,Sam Clovis,2.0,20.0,22.0
Sac,Lake View,U.S. Senate,,Rep,Sam Clovis,1.0,24.0,25.0
Sac,Lytton,U.S. Senate,,Rep,Sam Clovis,1.0,13.0,14.0
Sac,Nemaha,U.S. Senate,,Rep,Sam Clovis,0.0,5.0,5.0
Sac,Odebolt,U.S. Senate,,Rep,Sam Clovis,2.0,24.0,26.0
Sac,Sac City,U.S. Senate,,Rep,Sam Clovis,6.0,41.0,47.0
Sac,Schaller,U.S. Senate,,Rep,Sam Clovis,0.0,24.0,24.0
Sac,Wall Lake,U.S. Senate,,Rep,Sam Clovis,1.0,32.0,33.0
Sac,,U.S. Senate,,Rep,Sam Clovis,,,214.0
Sac,Auburn,U.S. Senate,,Rep,Joni Ernst,,,28.0
Sac,Early,U.S. Senate,,Rep,Joni Ernst,1.0,16.0,17.0
Sac,Lake View,U.S. Senate,,Rep,Joni Ernst,8.0,79.0,87.0
Sac,Lytton,U.S. Senate,,Rep,Joni Ernst,3.0,28.0,31.0
Sac,Nemaha,U.S. Senate,,Rep,Joni Ernst,3.0,20.0,23.0
Sac,Odebolt,U.S. Senate,,Rep,Joni Ernst,4.0,51.0,55.0
Sac,Sac City,U.S. Senate,,Rep,Joni Ernst,10.0,103.0,113.0
Sac,Schaller,U.S. Senate,,Rep,Joni Ernst,0.0,34.0,34.0
Sac,Wall Lake,U.S. Senate,,Rep,Joni Ernst,1.0,39.0,40.0
Sac,,U.S. Senate,,Rep,Joni Ernst,,,428.0
Sac,Auburn,U.S. Senate,,Rep,Mark Jacobs,,,4.0
Sac,Early,U.S. Senate,,Rep,Mark Jacobs,2.0,14.0,16.0
Sac,Lake View,U.S. Senate,,Rep,Mark Jacobs,2.0,30.0,32.0
Sac,Lytton,U.S. Senate,,Rep,Mark Jacobs,1.0,7.0,8.0
Sac,Nemaha,U.S. Senate,,Rep,Mark Jacobs,0.0,4.0,4.0
Sac,Odebolt,U.S. Senate,,Rep,Mark Jacobs,0.0,17.0,17.0
Sac,Sac City,U.S. Senate,,Rep,Mark Jacobs,6.0,62.0,68.0
Sac,Schaller,U.S. Senate,,Rep,Mark Jacobs,1.0,21.0,22.0
Sac,Wall Lake,U.S. Senate,,Rep,Mark Jacobs,0.0,31.0,31.0
Sac,,U.S. Senate,,Rep,Mark Jacobs,,,202.0
Sac,Auburn,U.S. Senate,,Rep,Scott Schaben,,,0.0
Sac,Early,U.S. Senate,,Rep,Scott Schaben,0.0,2.0,2.0
Sac,Lake View,U.S. Senate,,Rep,Scott Schaben,1.0,5.0,6.0
Sac,Lytton,U.S. Senate,,Rep,Scott Schaben,0.0,1.0,1.0
Sac,Nemaha,U.S. Senate,,Rep,Scott Schaben,0.0,2.0,2.0
Sac,Odebolt,U.S. Senate,,Rep,Scott Schaben,0.0,4.0,4.0
Sac,Sac City,U.S. Senate,,Rep,Scott Schaben,0.0,8.0,8.0
Sac,Schaller,U.S. Senate,,Rep,Scott Schaben,0.0,1.0,1.0
Sac,Wall Lake,U.S. Senate,,Rep,Scott Schaben,0.0,2.0,2.0
Sac,,U.S. Senate,,Rep,Scott Schaben,,,26.0
Sac,Auburn,U.S. Senate,,Rep,Matt Whitaker,,,2.0
Sac,Early,U.S. Senate,,Rep,Matt Whitaker,0.0,3.0,3.0
Sac,Lake View,U.S. Senate,,Rep,Matt Whitaker,0.0,11.0,11.0
Sac,Lytton,U.S. Senate,,Rep,Matt Whitaker,0.0,4.0,4.0
Sac,Nemaha,U.S. Senate,,Rep,Matt Whitaker,0.0,1.0,1.0
Sac,Odebolt,U.S. Senate,,Rep,Matt Whitaker,0.0,3.0,3.0
Sac,Sac City,U.S. Senate,,Rep,Matt Whitaker,5.0,20.0,25.0
Sac,Schaller,U.S. Senate,,Rep,Matt Whitaker,0.0,4.0,4.0
Sac,Wall Lake,U.S. Senate,,Rep,Matt Whitaker,0.0,2.0,2.0
Sac,,U.S. Senate,,Rep,Matt Whitaker,,,55.0
Sac,Auburn,U.S. Senate,,Rep,Write-in,,,0.0
Sac,Early,U.S. Senate,,Rep,Write-in,0.0,0.0,0.0
Sac,Lake View,U.S. Senate,,Rep,Write-in,0.0,0.0,0.0
Sac,Lytton,U.S. Senate,,Rep,Write-in,0.0,0.0,0.0
Sac,Nemaha,U.S. Senate,,Rep,Write-in,0.0,0.0,0.0
Sac,Odebolt,U.S. Senate,,Rep,Write-in,0.0,0.0,0.0
Sac,Sac City,U.S. Senate,,Rep,Write-in,0.0,0.0,0.0
Sac,Schaller,U.S. Senate,,Rep,Write-in,0.0,0.0,0.0
Sac,Wall Lake,U.S. Senate,,Rep,Write-in,0.0,0.0,0.0
Sac,,U.S. Senate,,Rep,Write-in,,,0.0
Sac,Auburn,U.S. Senate,,Dem,Bruce Braley,,,7.0
Sac,Early,U.S. Senate,,Dem,Bruce Braley,0.0,7.0,7.0
Sac,Lake View,U.S. Senate,,Dem,Bruce Braley,0.0,17.0,17.0
Sac,Lytton,U.S. Senate,,Dem,Bruce Braley,0.0,5.0,5.0
Sac,Nemaha,U.S. Senate,,Dem,Bruce Braley,0.0,0.0,0.0
Sac,Odebolt,U.S. Senate,,Dem,Bruce Braley,0.0,6.0,6.0
Sac,Sac City,U.S. Senate,,Dem,Bruce Braley,1.0,28.0,29.0
Sac,Schaller,U.S. Senate,,Dem,Bruce Braley,0.0,12.0,12.0
Sac,Wall Lake,U.S. Senate,,Dem,Bruce Braley,0.0,5.0,5.0
Sac,,U.S. Senate,,Dem,Bruce Braley,,,88.0
Sac,Auburn,U.S. Senate,,Dem,Write-in,,,0.0
Sac,Early,U.S. Senate,,Dem,Write-in,0.0,0.0,0.0
Sac,Lake View,U.S. Senate,,Dem,Write-in,0.0,0.0,0.0
Sac,Lytton,U.S. Senate,,Dem,Write-in,0.0,0.0,0.0
Sac,Nemaha,U.S. Senate,,Dem,Write-in,0.0,0.0,0.0
Sac,Odebolt,U.S. Senate,,Dem,Write-in,0.0,0.0,0.0
Sac,Sac City,U.S. Senate,,Dem,Write-in,0.0,0.0,0.0
Sac,Schaller,U.S. Senate,,Dem,Write-in,0.0,0.0,0.0
Sac,Wall Lake,U.S. Senate,,Dem,Write-in,0.0,0.0,0.0
Sac,,U.S. Senate,,Dem,Write-in,,,0.0
Sac,Auburn,U.S. House,4,Rep,Steve King,,,47.0
Sac,Early,U.S. House,4,Rep,Steve King,5.0,50.0,55.0
Sac,Lake View,U.S. House,4,Rep,Steve King,12.0,144.0,156.0
Sac,Lytton,U.S. House,4,Rep,Steve King,4.0,41.0,45.0
Sac,Nemaha,U.S. House,4,Rep,Steve King,3.0,31.0,34.0
Sac,Odebolt,U.S. House,4,Rep,Steve King,6.0,97.0,103.0
Sac,Sac City,U.S. House,4,Rep,Steve King,22.0,192.0,214.0
Sac,Schaller,U.S. House,4,Rep,Steve King,1.0,81.0,82.0
Sac,Wall Lake,U.S. House,4,Rep,Steve King,3.0,97.0,100.0
Sac,,U.S. House,4,Rep,Steve King,,,836.0
Sac,Auburn,U.S. House,4,Rep,Write-in,,,0.0
Sac,Early,U.S. House,4,Rep,Write-in,0.0,0.0,0.0
Sac,Lake View,U.S. House,4,Rep,Write-in,0.0,0.0,0.0
Sac,Lytton,U.S. House,4,Rep,Write-in,0.0,1.0,1.0
Sac,Nemaha,U.S. House,4,Rep,Write-in,0.0,0.0,0.0
Sac,Odebolt,U.S. House,4,Rep,Write-in,0.0,0.0,0.0
Sac,Sac City,U.S. House,4,Rep,Write-in,0.0,2.0,2.0
Sac,Schaller,U.S. House,4,Rep,Write-in,0.0,0.0,0.0
