county,precinct,office,district,party,candidate,absentee,polling,votes
Woodbury,10 FIRST CONGREGATIONAL,U.S. Senator,,Rep,Sam Clovis,,,129.0
Woodbury,11 GIRLS INC,U.S. Senator,,Rep,Sam Clovis,,,13.0
Woodbury,12 ST JOHN LUTHERAN,U.S. Senator,,Rep,Sam Clovis,,,75.0
Woodbury,13 SC TRANSIT SYSTEM,U.S. Senator,,Rep,Sam Clovis,,,22.0
Woodbury,14 BOYS & GIRLS HOME,U.S. Senator,,Rep,Sam Clovis,,,25.0
Woodbury,15 PEACE REFORMED/CONCORD,U.S. Senator,,Rep,Sam Clovis,,,67.0
Woodbury,16 TRIMBLE UNITED METH CH,U.S. Senator,,Rep,Sam Clovis,,,72.0
Woodbury,17 SC BAPTIST CHURCH,U.S. Senator,,Rep,Sam Clovis,,,99.0
Woodbury,18 CALVARY LUTHERAN,U.S. Senator,,Rep,Sam Clovis,,,79.0
Woodbury,19 CENTRAL BAPTIST CHURCH,U.S. Senator,,Rep,Sam Clovis,,,98.0
Woodbury,2 CROSS POINTE CHURCH,U.S. Senator,,Rep,Sam Clovis,,,23.0
Woodbury,20 AUGUSTANA LUTHERAN,U.S. Senator,,Rep,Sam Clovis,,,5.0
Woodbury,21 M'SIDE LUTHERAN CHURCH,U.S. Senator,,Rep,Sam Clovis,,,93.0
Woodbury,22 MORNINGSIDE LIBRARY,U.S. Senator,,Rep,Sam Clovis,,,113.0
Woodbury,23 THIRD PREABYTERIAN,U.S. Senator,,Rep,Sam Clovis,,,56.0
Woodbury,24 WASHINGTON HEIGHTS,U.S. Senator,,Rep,Sam Clovis,,,81.0
Woodbury,25 M'SIDE COLLEGE EPPLEY,U.S. Senator,,Rep,Sam Clovis,,,85.0
Woodbury,26 EAST MIDDLE SCHOOL,U.S. Senator,,Rep,Sam Clovis,,,128.0
Woodbury,27 ST JAMES UNITED METH.,U.S. Senator,,Rep,Sam Clovis,,,110.0
Woodbury,28 REDEEMER LUTHERAN,U.S. Senator,,Rep,Sam Clovis,,,225.0
Woodbury,29 SGT BLUFF EAST/WDBY,U.S. Senator,,Rep,Sam Clovis,,,147.0
Woodbury,3 CONCORDIA LUTHERAN,U.S. Senator,,Rep,Sam Clovis,,,57.0
Woodbury,30 SGT BLUFF WEST,U.S. Senator,,Rep,Sam Clovis,,,72.0
Woodbury,31 SALIX/LIB-LAK TWP,U.S. Senator,,Rep,Sam Clovis,,,53.0
Woodbury,32 BRONSON/FLO-GRG TWP,U.S. Senator,,Rep,Sam Clovis,,,72.0
Woodbury,33 PIERSON/RUTLAND TWP,U.S. Senator,,Rep,Sam Clovis,,,33.0
Woodbury,34 C'VILLE/KED-UNI TWP,U.S. Senator,,Rep,Sam Clovis,,,35.0
Woodbury,35 MOVILLE/ARL-MOV-WOL TW,U.S. Senator,,Rep,Sam Clovis,,,99.0
Woodbury,36 LAWTON/BANNER TWP,U.S. Senator,,Rep,Sam Clovis,,,72.0
Woodbury,37 CLIMBING HILL/GRT-WES,U.S. Senator,,Rep,Sam Clovis,,,33.0
Woodbury,38 SLOAN/SLOAN TWP,U.S. Senator,,Rep,Sam Clovis,,,43.0
Woodbury,39 HORNICK/WILLOW TWP,U.S. Senator,,Rep,Sam Clovis,,,50.0
Woodbury,4 EMERSON SCHOOL,U.S. Senator,,Rep,Sam Clovis,,,18.0
Woodbury,40 ANTHON/MILLER TWP,U.S. Senator,,Rep,Sam Clovis,,,38.0
Woodbury,41 DANBURY/LIS-MOR TWP,U.S. Senator,,Rep,Sam Clovis,,,30.0
Woodbury,42 SMITHLAND/LITTLE SIOUX,U.S. Senator,,Rep,Sam Clovis,,,21.0
Woodbury,43 OTO/OTO TWP,U.S. Senator,,Rep,Sam Clovis,,,9.0
Woodbury,44 CUSHING/ROCK TWP,U.S. Senator,,Rep,Sam Clovis,,,19.0
Woodbury,45 ABSENTEE,U.S. Senator,,Rep,Sam Clovis,,,1057.0
Woodbury,5 RIVERSIDE LUTHERAN,U.S. Senator,,Rep,Sam Clovis,,,29.0
Woodbury,6 FAITH LUTHERAN CHURCH,U.S. Senator,,Rep,Sam Clovis,,,97.0
Woodbury,7 CRESCENT PARK SCHOOL,U.S. Senator,,Rep,Sam Clovis,,,51.0
Woodbury,8 MT. ZION BAPTIST CHURCH,U.S. Senator,,Rep,Sam Clovis,,,9.0
Woodbury,9 MIDTOWN FAMILY COMM CTR,U.S. Senator,,Rep,Sam Clovis,,,4.0
Woodbury,,U.S. Senator,,Rep,Sam Clovis,,,3845.0
Woodbury,10 FIRST CONGREGATIONAL,U.S. Senator,,Rep,Joni Ernst,,,54.0
Woodbury,11 GIRLS INC,U.S. Senator,,Rep,Joni Ernst,,,1.0
Woodbury,12 ST JOHN LUTHERAN,U.S. Senator,,Rep,Joni Ernst,,,16.0
Woodbury,13 SC TRANSIT SYSTEM,U.S. Senator,,Rep,Joni Ernst,,,6.0
Woodbury,14 BOYS & GIRLS HOME,U.S. Senator,,Rep,Joni Ernst,,,3.0
Woodbury,15 PEACE REFORMED/CONCORD,U.S. Senator,,Rep,Joni Ernst,,,18.0
Woodbury,16 TRIMBLE UNITED METH CH,U.S. Senator,,Rep,Joni Ernst,,,17.0
Woodbury,17 SC BAPTIST CHURCH,U.S. Senator,,Rep,Joni Ernst,,,23.0
Woodbury,18 CALVARY LUTHERAN,U.S. Senator,,Rep,Joni Ernst,,,16.0
