county,precinct,office,district,party,candidate,absentee,polling,votes,check
Delaware,Adams/Hazel Green,U.S. Senator,,Rep,Sam Clovis,0,1,1,TRUE
Delaware,Colony,U.S. Senator,,Rep,Sam Clovis,0,1,1,TRUE
Delaware,Delaware,U.S. Senator,,Rep,Sam Clovis,0,1,1,TRUE
Delaware,Delhi/Delaware Corp,U.S. Senator,,Rep,Sam Clovis,1,2,3,TRUE
Delaware,Honey Creek/Elk,U.S. Senator,,Rep,Sam Clovis,0,3,3,TRUE
Delaware,Manchester Ward 1,U.S. Senator,,Rep,Sam Clovis,1,1,2,TRUE
Delaware,Manchester Ward 2,U.S. Senator,,Rep,Sam Clovis,1,0,1,TRUE
Delaware,Manchester Ward 3,U.S. Senator,,Rep,Sam Clovis,0,4,4,TRUE
Delaware,Milo/Prairie,U.S. Senator,,Rep,Sam Clovis,0,6,6,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Senator,,Rep,Sam Clovis,1,9,10,TRUE
Delaware,Richland/Coffins Grove,U.S. Senator,,Rep,Sam Clovis,0,3,3,TRUE
Delaware,South Fork/Union,U.S. Senator,,Rep,Sam Clovis,0,3,3,TRUE
Delaware,Adams/Hazel Green,U.S. Senator,,Rep,Joni Ernst,0,39,39,TRUE
Delaware,Colony,U.S. Senator,,Rep,Joni Ernst,1,33,34,TRUE
Delaware,Delaware,U.S. Senator,,Rep,Joni Ernst,3,39,42,TRUE
Delaware,Delhi/Delaware Corp,U.S. Senator,,Rep,Joni Ernst,5,36,41,TRUE
Delaware,Honey Creek/Elk,U.S. Senator,,Rep,Joni Ernst,1,36,37,TRUE
Delaware,Manchester Ward 1,U.S. Senator,,Rep,Joni Ernst,6,20,26,TRUE
Delaware,Manchester Ward 2,U.S. Senator,,Rep,Joni Ernst,7,60,67,TRUE
Delaware,Manchester Ward 3,U.S. Senator,,Rep,Joni Ernst,5,47,52,TRUE
Delaware,Milo/Prairie,U.S. Senator,,Rep,Joni Ernst,5,62,67,TRUE
Delaware,Oneida/N Fork/Bremen,U.S. Senator,,Rep,Joni Ernst,0,46,46,TRUE
Delaware,Richland/Coffins Grove,U.S. Senator,,Rep,Joni Ernst,2,33,35,TRUE
Delaware,South Fork/Union,U.S. Senator,,Rep,Joni Ernst,1,27,28,TRUE
Delaware,Adams/Hazel Green,U.S. Senator,,Rep,Mark Jacobs,0,8,8,TRUE
Delaware,Colony,U.S. Senator,,Rep,Mark Jacobs,0,5,5,TRUE
Delaware,Delaware,U.S. Senator,,Rep,Mark Jacobs,2,9,11,TRUE
Delaware,Delhi/Delaware Corp,U.S. Senator,,Rep,Mark Jacobs,4,17,21,TRUE
Delaware,Honey Creek/Elk,U.S. Senator,,Rep,Mark Jacobs,2,6,8,TRUE
Delaware,Manchester Ward 1,U.S. Senator,,Rep,Mark Jacobs,1,15,16,TRUE
Delaware,Manchester Ward 2,U.S. Senator,,Rep,Mark Jacobs,3,22,25,TRUE
Delaware,Manchester Ward 3,U.S. Senator,,Rep,Mark Jacobs,3,14,17,TRUE
Delaware,Milo/Prairie,U.S. Senator,,Rep,Mark Jacobs,1,15,16,TRUE
