county,precinct,office,district,party,candidate,absentee,polling,votes
Decatur,BL/FA/LAMONI,U.S. Senator,,Rep,Sam Clovis,,,15.0
Decatur,BU/HA/MO/NB/DAVIS CITY/PLEASANTON,U.S. Senator,,Rep,Sam Clovis,0.0,8.0,8.0
Decatur,CE/ED/LEON,U.S. Senator,,Rep,Sam Clovis,1.0,16.0,17.0
Decatur,DE/DECATUR CITY,U.S. Senator,,Rep,Sam Clovis,0.0,2.0,2.0
Decatur,GG/HP/WO/GARDEN GROVE/LEROY,U.S. Senator,,Rep,Sam Clovis,0.0,12.0,12.0
Decatur,GR/RL/GRAND RIVER,U.S. Senator,,Rep,Sam Clovis,0.0,2.0,2.0
Decatur,LC/VAN WERT/FR/WELDON,U.S. Senator,,Rep,Sam Clovis,0.0,1.0,1.0
Decatur,,U.S. Senator,,Rep,Sam Clovis,,,57.0
Decatur,BL/FA/LAMONI,U.S. Senator,,Rep,Joni Ernst,,,61.0
Decatur,BU/HA/MO/NB/DAVIS CITY/PLEASANTON,U.S. Senator,,Rep,Joni Ernst,3.0,34.0,37.0
Decatur,CE/ED/LEON,U.S. Senator,,Rep,Joni Ernst,12.0,59.0,71.0
Decatur,DE/DECATUR CITY,U.S. Senator,,Rep,Joni Ernst,1.0,11.0,12.0
Decatur,GG/HP/WO/GARDEN GROVE/LEROY,U.S. Senator,,Rep,Joni Ernst,5.0,19.0,24.0
Decatur,GR/RL/GRAND RIVER,U.S. Senator,,Rep,Joni Ernst,0.0,18.0,18.0
Decatur,LC/VAN WERT/FR/WELDON,U.S. Senator,,Rep,Joni Ernst,3.0,36.0,39.0
Decatur,,U.S. Senator,,Rep,Joni Ernst,,,267.0
Decatur,BL/FA/LAMONI,U.S. Senator,,Rep,Mark Jacobs,,,5.0
Decatur,BU/HA/MO/NB/DAVIS CITY/PLEASANTON,U.S. Senator,,Rep,Mark Jacobs,0.0,1.0,1.0
Decatur,CE/ED/LEON,U.S. Senator,,Rep,Mark Jacobs,3.0,8.0,11.0
Decatur,DE/DECATUR CITY,U.S. Senator,,Rep,Mark Jacobs,1.0,2.0,3.0
Decatur,GG/HP/WO/GARDEN GROVE/LEROY,U.S. Senator,,Rep,Mark Jacobs,0.0,0.0,0.0
Decatur,GR/RL/GRAND RIVER,U.S. Senator,,Rep,Mark Jacobs,2.0,3.0,5.0
Decatur,LC/VAN WERT/FR/WELDON,U.S. Senator,,Rep,Mark Jacobs,0.0,6.0,6.0
Decatur,,U.S. Senator,,Rep,Mark Jacobs,,,32.0
Decatur,BL/FA/LAMONI,U.S. Senator,,Rep,Scott Schaben,,,1.0
Decatur,BU/HA/MO/NB/DAVIS CITY/PLEASANTON,U.S. Senator,,Rep,Scott Schaben,0.0,0.0,0.0
Decatur,CE/ED/LEON,U.S. Senator,,Rep,Scott Schaben,0.0,0.0,0.0
Decatur,DE/DECATUR CITY,U.S. Senator,,Rep,Scott Schaben,0.0,0.0,0.0
Decatur,GG/HP/WO/GARDEN GROVE/LEROY,U.S. Senator,,Rep,Scott Schaben,0.0,0.0,0.0
Decatur,GR/RL/GRAND RIVER,U.S. Senator,,Rep,Scott Schaben,0.0,0.0,0.0
Decatur,LC/VAN WERT/FR/WELDON,U.S. Senator,,Rep,Scott Schaben,0.0,0.0,0.0
Decatur,,U.S. Senator,,Rep,Scott Schaben,,,2.0
Decatur,BL/FA/LAMONI,U.S. Senator,,Rep,Matt Whitaker,,,6.0
Decatur,BU/HA/MO/NB/DAVIS CITY/PLEASANTON,U.S. Senator,,Rep,Matt Whitaker,0.0,4.0,4.0
Decatur,CE/ED/LEON,U.S. Senator,,Rep,Matt Whitaker,1.0,6.0,7.0
Decatur,DE/DECATUR CITY,U.S. Senator,,Rep,Matt Whitaker,0.0,1.0,1.0
Decatur,GG/HP/WO/GARDEN GROVE/LEROY,U.S. Senator,,Rep,Matt Whitaker,0.0,0.0,0.0
Decatur,GR/RL/GRAND RIVER,U.S. Senator,,Rep,Matt Whitaker,0.0,0.0,0.0
Decatur,LC/VAN WERT/FR/WELDON,U.S. Senator,,Rep,Matt Whitaker,0.0,2.0,2.0
Decatur,,U.S. Senator,,Rep,Matt Whitaker,,,20.0
Decatur,BL/FA/LAMONI,U.S. Senator,,Rep,Write-in,,,0.0
Decatur,BU/HA/MO/NB/DAVIS CITY/PLEASANTON,U.S. Senator,,Rep,Write-in,0.0,0.0,0.0
Decatur,CE/ED/LEON,U.S. Senator,,Rep,Write-in,0.0,1.0,1.0
Decatur,DE/DECATUR CITY,U.S. Senator,,Rep,Write-in,0.0,0.0,0.0
Decatur,GG/HP/WO/GARDEN GROVE/LEROY,U.S. Senator,,Rep,Write-in,0.0,0.0,0.0
Decatur,GR/RL/GRAND RIVER,U.S. Senator,,Rep,Write-in,0.0,0.0,0.0
Decatur,LC/VAN WERT/FR/WELDON,U.S. Senator,,Rep,Write-in,0.0,0.0,0.0
Decatur,,U.S. Senator,,Rep,Write-in,,,1.0
Decatur,BL/FA/LAMONI,U.S. Senator,,Dem,Bruce Braley,,,21.0
Decatur,BU/HA/MO/NB/DAVIS CITY/PLEASANTON,U.S. Senator,,Dem,Bruce Braley,2.0,6.0,8.0
Decatur,CE/ED/LEON,U.S. Senator,,Dem,Bruce Braley,2.0,8.0,10.0
Decatur,DE/DECATUR CITY,U.S. Senator,,Dem,Bruce Braley,0.0,2.0,2.0
Decatur,GG/HP/WO/GARDEN GROVE/LEROY,U.S. Senator,,Dem,Bruce Braley,0.0,7.0,7.0
Decatur,GR/RL/GRAND RIVER,U.S. Senator,,Dem,Bruce Braley,0.0,8.0,8.0
Decatur,LC/VAN WERT/FR/WELDON,U.S. Senator,,Dem,Bruce Braley,2.0,8.0,10.0
Decatur,,U.S. Senator,,Dem,Bruce Braley,,,70.0
Decatur,BL/FA/LAMONI,U.S. Senator,,Dem,Write-in,,,2.0
Decatur,BU/HA/MO/NB/DAVIS CITY/PLEASANTON,U.S. Senator,,Dem,Write-in,0.0,0.0,0.0
Decatur,CE/ED/LEON,U.S. Senator,,Dem,Write-in,0.0,0.0,0.0
Decatur,DE/DECATUR CITY,U.S. Senator,,Dem,Write-in,0.0,0.0,0.0
Decatur,GG/HP/WO/GARDEN GROVE/LEROY,U.S. Senator,,Dem,Write-in,0.0,0.0,0.0
Decatur,GR/RL/GRAND RIVER,U.S. Senator,,Dem,Write-in,0.0,0.0,0.0
Decatur,LC/VAN WERT/FR/WELDON,U.S. Senator,,Dem,Write-in,0.0,0.0,0.0
Decatur,,U.S. Senator,,Dem,Write-in,,,2.0
