office,district,candidate,party,reporting_level,jurisdiction,votes
U.S. Senate,,Sam Clovis,Rep,county,Adair,62
U.S. Senate,,Joni Ernst,Rep,county,Adair,457
U.S. Senate,,Mark Jacobs,Rep,county,Adair,67
U.S. Senate,,Scott Schaben,Rep,county,Adair,5
U.S. Senate,,Matt Whitaker,Rep,county,Adair,37
U.S. Senate,,Write-In,Rep,county,Adair,0
U.S. Senate,,Under Votes,Rep,county,Adair,18
U.S. Senate,,Over Votes,Rep,county,Adair,0
U.S. Senate,,Total,Rep,county,Adair,646
U.S. Senate,,Sam Clovis,Rep,county,Adams,18
U.S. Senate,,Joni Ernst,Rep,county,Adams,321
U.S. Senate,,Mark Jacobs,Rep,county,Adams,29
U.S. Senate,,Scott Schaben,Rep,county,Adams,7
U.S. Senate,,Matt Whitaker,Rep,county,Adams,3
U.S. Senate,,Write-In,Rep,county,Adams,1
U.S. Senate,,Under Votes,Rep,county,Adams,3
U.S. Senate,,Over Votes,Rep,county,Adams,0
U.S. Senate,,Total,Rep,county,Adams,382
U.S. Senate,,Sam Clovis,Rep,county,Allamakee,75
U.S. Senate,,Joni Ernst,Rep,county,Allamakee,501
U.S. Senate,,Mark Jacobs,Rep,county,Allamakee,137
U.S. Senate,,Scott Schaben,Rep,county,Allamakee,11
U.S. Senate,,Matt Whitaker,Rep,county,Allamakee,57
U.S. Senate,,Write-In,Rep,county,Allamakee,1
U.S. Senate,,Under Votes,Rep,county,Allamakee,34
U.S. Senate,,Over Votes,Rep,county,Allamakee,1
U.S. Senate,,Total,Rep,county,Allamakee,817
U.S. Senate,,Sam Clovis,Rep,county,Appanoose,113
U.S. Senate,,Joni Ernst,Rep,county,Appanoose,355
U.S. Senate,,Mark Jacobs,Rep,county,Appanoose,70
U.S. Senate,,Scott Schaben,Rep,county,Appanoose,6
U.S. Senate,,Matt Whitaker,Rep,county,Appanoose,52
U.S. Senate,,Write-In,Rep,county,Appanoose,0
U.S. Senate,,Under Votes,Rep,county,Appanoose,0
U.S. Senate,,Over Votes,Rep,county,Appanoose,1
U.S. Senate,,Total,Rep,county,Appanoose,597
U.S. Senate,,Sam Clovis,Rep,county,Audubon,33
U.S. Senate,,Joni Ernst,Rep,county,Audubon,244
U.S. Senate,,Mark Jacobs,Rep,county,Audubon,33
U.S. Senate,,Scott Schaben,Rep,county,Audubon,2
U.S. Senate,,Matt Whitaker,Rep,county,Audubon,18
U.S. Senate,,Write-In,Rep,county,Audubon,0
U.S. Senate,,Under Votes,Rep,county,Audubon,3
U.S. Senate,,Over Votes,Rep,county,Audubon,0
U.S. Senate,,Total,Rep,county,Audubon,333
U.S. Senate,,Sam Clovis,Rep,county,Benton,142
U.S. Senate,,Joni Ernst,Rep,county,Benton,747
U.S. Senate,,Mark Jacobs,Rep,county,Benton,187
U.S. Senate,,Scott Schaben,Rep,county,Benton,12
U.S. Senate,,Matt Whitaker,Rep,county,Benton,83
U.S. Senate,,Write-In,Rep,county,Benton,0
U.S. Senate,,Under Votes,Rep,county,Benton,6
U.S. Senate,,Over Votes,Rep,county,Benton,1
U.S. Senate,,Total,Rep,county,Benton,1178
U.S. Senate,,Sam Clovis,Rep,county,Black Hawk,352
U.S. Senate,,Joni Ernst,Rep,county,Black Hawk,2820
U.S. Senate,,Mark Jacobs,Rep,county,Black Hawk,884
