county,precinct,office,district,party,candidate,absentee,polling,votes
Calhoun,Butler- Williams,U.S. Senate,,Rep,Sam Clovis,,,18.0
Calhoun,Cal- Jackson- Elm G- Lake,U.S. Senate,,Rep,Sam Clovis,,,16.0
Calhoun,Cedar,U.S. Senate,,Rep,Sam Clovis,,,5.0
Calhoun,Cen- Log- TL- Gar- LC,U.S. Senate,,Rep,Sam Clovis,,,19.0
Calhoun,Greenfield- Lincoln 2,U.S. Senate,,Rep,Sam Clovis,,,10.0
Calhoun,Lincoln 1,U.S. Senate,,Rep,Sam Clovis,,,11.0
Calhoun,Reading,U.S. Senate,,Rep,Sam Clovis,,,4.0
Calhoun,Rockwell City,U.S. Senate,,Rep,Sam Clovis,,,27.0
Calhoun,Sherman,U.S. Senate,,Rep,Sam Clovis,,,17.0
Calhoun,Union,U.S. Senate,,Rep,Sam Clovis,,,8.0
Calhoun,,U.S. Senate,,Rep,Sam Clovis,,,148.0
,,U.S. Senate,,Rep,Sam Clovis,,,
,Butler- Williams,U.S. Senate,,Rep,Joni Ernst,,,25.0
,Cal- Jackson- Elm G- Lake,U.S. Senate,,Rep,Joni Ernst,,,55.0
,Cedar,U.S. Senate,,Rep,Joni Ernst,,,13.0
,Cen- Log- TL- Gar- LC,U.S. Senate,,Rep,Joni Ernst,,,31.0
,Greenfield- Lincoln 2,U.S. Senate,,Rep,Joni Ernst,,,24.0
,Lincoln 1,U.S. Senate,,Rep,Joni Ernst,,,63.0
,Reading,U.S. Senate,,Rep,Joni Ernst,,,20.0
,Rockwell City,U.S. Senate,,Rep,Joni Ernst,,,53.0
,Sherman,U.S. Senate,,Rep,Joni Ernst,,,41.0
,Union,U.S. Senate,,Rep,Joni Ernst,,,27.0
Calhoun,,U.S. Senate,,Rep,Joni Ernst,,,366.0
,,U.S. Senate,,Rep,Joni Ernst,,,
,Butler- Williams,U.S. Senate,,Rep,Mark Jacobs,,,8.0
,Cal- Jackson- Elm G- Lake,U.S. Senate,,Rep,Mark Jacobs,,,7.0
,Cedar,U.S. Senate,,Rep,Mark Jacobs,,,2.0
,Cen- Log- TL- Gar- LC,U.S. Senate,,Rep,Mark Jacobs,,,7.0
,Greenfield- Lincoln 2,U.S. Senate,,Rep,Mark Jacobs,,,1.0
,Lincoln 1,U.S. Senate,,Rep,Mark Jacobs,,,8.0
,Reading,U.S. Senate,,Rep,Mark Jacobs,,,3.0
,Rockwell City,U.S. Senate,,Rep,Mark Jacobs,,,18.0
,Sherman,U.S. Senate,,Rep,Mark Jacobs,,,11.0
,Union,U.S. Senate,,Rep,Mark Jacobs,,,8.0
Calhoun,,U.S. Senate,,Rep,Mark Jacobs,,,91.0
,,U.S. Senate,,Rep,Mark Jacobs,,,
,Butler- Williams,U.S. Senate,,Rep,Scott Schaben,,,0.0
