county,precinct,office,district,party,candidate,absentee,polling,votes
Jones,ANAMOSA NORTH,U.S. Senate,,Rep,Sam Clovis,,,6.0
Jones,ANAMOSA SOUTH,U.S. Senate,,Rep,Sam Clovis,3.0,27.0,30.0
Jones,CASTLE GROVE LOVELL WAYNE,U.S. Senate,,Rep,Sam Clovis,1.0,17.0,18.0
Jones,FAIRVIEW,U.S. Senate,,Rep,Sam Clovis,5.0,23.0,28.0
Jones,GREENFIELD,U.S. Senate,,Rep,Sam Clovis,0.0,3.0,3.0
Jones,MONTICELLO 1,U.S. Senate,,Rep,Sam Clovis,0.0,4.0,4.0
Jones,MONTICELLO 2,U.S. Senate,,Rep,Sam Clovis,3.0,13.0,16.0
Jones,MONTICELLO 3,U.S. Senate,,Rep,Sam Clovis,1.0,5.0,6.0
Jones,MONTICELLO 4,U.S. Senate,,Rep,Sam Clovis,2.0,8.0,10.0
Jones,OXFORD,U.S. Senate,,Rep,Sam Clovis,0.0,6.0,6.0
Jones,RICHLAND WASHINGTON,U.S. Senate,,Rep,Sam Clovis,0.0,6.0,6.0
Jones,ROME HALE,U.S. Senate,,Rep,Sam Clovis,0.0,4.0,4.0
Jones,SCOTCH GROVE MADISON CLAY,U.S. Senate,,Rep,Sam Clovis,0.0,5.0,5.0
Jones,WYOMING,U.S. Senate,,Rep,Sam Clovis,0.0,2.0,2.0
Jones,,U.S. Senate,,Rep,Sam Clovis,,,144.0
Jones,ANAMOSA NORTH,U.S. Senate,,Rep,Joni Ernst,,,48.0
Jones,ANAMOSA SOUTH,U.S. Senate,,Rep,Joni Ernst,11.0,70.0,81.0
Jones,CASTLE GROVE LOVELL WAYNE,U.S. Senate,,Rep,Joni Ernst,6.0,94.0,100.0
Jones,FAIRVIEW,U.S. Senate,,Rep,Joni Ernst,11.0,57.0,68.0
Jones,GREENFIELD,U.S. Senate,,Rep,Joni Ernst,2.0,34.0,36.0
Jones,MONTICELLO 1,U.S. Senate,,Rep,Joni Ernst,1.0,16.0,17.0
Jones,MONTICELLO 2,U.S. Senate,,Rep,Joni Ernst,3.0,25.0,28.0
Jones,MONTICELLO 3,U.S. Senate,,Rep,Joni Ernst,0.0,14.0,14.0
Jones,MONTICELLO 4,U.S. Senate,,Rep,Joni Ernst,7.0,36.0,43.0
Jones,OXFORD,U.S. Senate,,Rep,Joni Ernst,0.0,26.0,26.0
Jones,RICHLAND WASHINGTON,U.S. Senate,,Rep,Joni Ernst,4.0,64.0,68.0
Jones,ROME HALE,U.S. Senate,,Rep,Joni Ernst,4.0,34.0,38.0
Jones,SCOTCH GROVE MADISON CLAY,U.S. Senate,,Rep,Joni Ernst,1.0,74.0,75.0
Jones,WYOMING,U.S. Senate,,Rep,Joni Ernst,2.0,15.0,17.0
Jones,,U.S. Senate,,Rep,Joni Ernst,,,664.0
Jones,ANAMOSA NORTH,U.S. Senate,,Rep,Mark Jacobs,,,20.0
Jones,ANAMOSA SOUTH,U.S. Senate,,Rep,Mark Jacobs,10.0,18.0,28.0
Jones,CASTLE GROVE LOVELL WAYNE,U.S. Senate,,Rep,Mark Jacobs,10.0,31.0,41.0
Jones,FAIRVIEW,U.S. Senate,,Rep,Mark Jacobs,1.0,13.0,14.0
Jones,GREENFIELD,U.S. Senate,,Rep,Mark Jacobs,2.0,3.0,5.0
Jones,MONTICELLO 1,U.S. Senate,,Rep,Mark Jacobs,0.0,14.0,14.0
Jones,MONTICELLO 2,U.S. Senate,,Rep,Mark Jacobs,1.0,7.0,8.0
Jones,MONTICELLO 3,U.S. Senate,,Rep,Mark Jacobs,3.0,6.0,9.0
Jones,MONTICELLO 4,U.S. Senate,,Rep,Mark Jacobs,4.0,15.0,19.0
Jones,OXFORD,U.S. Senate,,Rep,Mark Jacobs,0.0,3.0,3.0
Jones,RICHLAND WASHINGTON,U.S. Senate,,Rep,Mark Jacobs,1.0,35.0,36.0
Jones,ROME HALE,U.S. Senate,,Rep,Mark Jacobs,0.0,9.0,9.0
Jones,SCOTCH GROVE MADISON CLAY,U.S. Senate,,Rep,Mark Jacobs,6.0,21.0,27.0
Jones,WYOMING,U.S. Senate,,Rep,Mark Jacobs,0.0,8.0,8.0
Jones,,U.S. Senate,,Rep,Mark Jacobs,,,245.0
Jones,ANAMOSA NORTH,U.S. Senate,,Rep,Scott Schaben,,,0.0
Jones,ANAMOSA SOUTH,U.S. Senate,,Rep,Scott Schaben,0.0,0.0,0.0
Jones,CASTLE GROVE LOVELL WAYNE,U.S. Senate,,Rep,Scott Schaben,0.0,1.0,1.0
Jones,FAIRVIEW,U.S. Senate,,Rep,Scott Schaben,0.0,0.0,0.0
Jones,GREENFIELD,U.S. Senate,,Rep,Scott Schaben,0.0,0.0,0.0
Jones,MONTICELLO 1,U.S. Senate,,Rep,Scott Schaben,0.0,0.0,0.0
Jones,MONTICELLO 2,U.S. Senate,,Rep,Scott Schaben,0.0,0.0,0.0
Jones,MONTICELLO 3,U.S. Senate,,Rep,Scott Schaben,0.0,0.0,0.0
Jones,MONTICELLO 4,U.S. Senate,,Rep,Scott Schaben,0.0,0.0,0.0
Jones,OXFORD,U.S. Senate,,Rep,Scott Schaben,0.0,1.0,1.0
Jones,RICHLAND WASHINGTON,U.S. Senate,,Rep,Scott Schaben,0.0,2.0,2.0
Jones,ROME HALE,U.S. Senate,,Rep,Scott Schaben,0.0,0.0,0.0
Jones,SCOTCH GROVE MADISON CLAY,U.S. Senate,,Rep,Scott Schaben,0.0,1.0,1.0
Jones,WYOMING,U.S. Senate,,Rep,Scott Schaben,0.0,0.0,0.0
Jones,,U.S. Senate,,Rep,Scott Schaben,,,5.0
Jones,ANAMOSA NORTH,U.S. Senate,,Rep,Matt Whitaker,,,4.0
Jones,ANAMOSA SOUTH,U.S. Senate,,Rep,Matt Whitaker,1.0,6.0,7.0
Jones,CASTLE GROVE LOVELL WAYNE,U.S. Senate,,Rep,Matt Whitaker,2.0,6.0,8.0
Jones,FAIRVIEW,U.S. Senate,,Rep,Matt Whitaker,0.0,7.0,7.0
Jones,GREENFIELD,U.S. Senate,,Rep,Matt Whitaker,0.0,2.0,2.0
Jones,MONTICELLO 1,U.S. Senate,,Rep,Matt Whitaker,0.0,4.0,4.0
Jones,MONTICELLO 2,U.S. Senate,,Rep,Matt Whitaker,0.0,3.0,3.0
Jones,MONTICELLO 3,U.S. Senate,,Rep,Matt Whitaker,0.0,3.0,3.0
Jones,MONTICELLO 4,U.S. Senate,,Rep,Matt Whitaker,0.0,4.0,4.0
Jones,OXFORD,U.S. Senate,,Rep,Matt Whitaker,0.0,5.0,5.0
Jones,RICHLAND WASHINGTON,U.S. Senate,,Rep,Matt Whitaker,1.0,9.0,10.0
Jones,ROME HALE,U.S. Senate,,Rep,Matt Whitaker,0.0,1.0,1.0
Jones,SCOTCH GROVE MADISON CLAY,U.S. Senate,,Rep,Matt Whitaker,0.0,3.0,3.0
Jones,WYOMING,U.S. Senate,,Rep,Matt Whitaker,0.0,5.0,5.0
Jones,,U.S. Senate,,Rep,Matt Whitaker,,,67.0
Jones,ANAMOSA NORTH,U.S. Senate,,Rep,Write-in,,,0.0
Jones,ANAMOSA SOUTH,U.S. Senate,,Rep,Write-in,0.0,0.0,0.0
Jones,CASTLE GROVE LOVELL WAYNE,U.S. Senate,,Rep,Write-in,0.0,0.0,0.0
