office,district,candidate,party,reporting_level,jurisdiction,votes
U.S. Senate,,Roxanne Conlin,,county,Adair,778
U.S. Senate,,Chuck Grassley,,county,Adair,2220
U.S. Senate,,John Heiderscheit,,county,Adair,60
U.S. Senate,,Write-in,,county,Adair,3
U.S. Senate,,Over Votes,,county,Adair,0
U.S. Senate,,Under Votes,,county,Adair,61
U.S. Senate,,Total,,county,Adair,3122
U.S. Senate,,Roxanne Conlin,,county,Adams,442
U.S. Senate,,Chuck Grassley,,county,Adams,1234
U.S. Senate,,John Heiderscheit,,county,Adams,49
U.S. Senate,,Write-in,,county,Adams,2
U.S. Senate,,Over Votes,,county,Adams,0
U.S. Senate,,Under Votes,,county,Adams,53
U.S. Senate,,Total,,county,Adams,1780
U.S. Senate,,Roxanne Conlin,,county,Allamakee,1416
U.S. Senate,,Chuck Grassley,,county,Allamakee,3584
U.S. Senate,,John Heiderscheit,,county,Allamakee,259
U.S. Senate,,Write-in,,county,Allamakee,1
U.S. Senate,,Over Votes,,county,Allamakee,0
U.S. Senate,,Under Votes,,county,Allamakee,147
U.S. Senate,,Total,,county,Allamakee,5407
U.S. Senate,,Roxanne Conlin,,county,Appanoose,1398
U.S. Senate,,Chuck Grassley,,county,Appanoose,3050
U.S. Senate,,John Heiderscheit,,county,Appanoose,144
U.S. Senate,,Write-in,,county,Appanoose,5
U.S. Senate,,Over Votes,,county,Appanoose,0
U.S. Senate,,Under Votes,,county,Appanoose,65
U.S. Senate,,Total,,county,Appanoose,4662
U.S. Senate,,Roxanne Conlin,,county,Audubon,747
U.S. Senate,,Chuck Grassley,,county,Audubon,1908
U.S. Senate,,John Heiderscheit,,county,Audubon,59
U.S. Senate,,Write-in,,county,Audubon,0
U.S. Senate,,Over Votes,,county,Audubon,0
U.S. Senate,,Under Votes,,county,Audubon,84
U.S. Senate,,Total,,county,Audubon,2798
U.S. Senate,,Roxanne Conlin,,county,Benton,2796
U.S. Senate,,Chuck Grassley,,county,Benton,6936
U.S. Senate,,John Heiderscheit,,county,Benton,248
U.S. Senate,,Write-in,,county,Benton,1
U.S. Senate,,Over Votes,,county,Benton,1
U.S. Senate,,Under Votes,,county,Benton,109
U.S. Senate,,Total,,county,Benton,10091
U.S. Senate,,Roxanne Conlin,,county,Black Hawk,17114
U.S. Senate,,Chuck Grassley,,county,Black Hawk,27099
U.S. Senate,,John Heiderscheit,,county,Black Hawk,771
U.S. Senate,,Write-in,,county,Black Hawk,29
U.S. Senate,,Over Votes,,county,Black Hawk,11
U.S. Senate,,Under Votes,,county,Black Hawk,637
U.S. Senate,,Total,,county,Black Hawk,45661
U.S. Senate,,Roxanne Conlin,,county,Boone,3457
U.S. Senate,,Chuck Grassley,,county,Boone,7014
U.S. Senate,,John Heiderscheit,,county,Boone,244
U.S. Senate,,Write-in,,county,Boone,5
U.S. Senate,,Over Votes,,county,Boone,6
U.S. Senate,,Under Votes,,county,Boone,164
U.S. Senate,,Total,,county,Boone,10890
U.S. Senate,,Roxanne Conlin,,county,Bremer,2815
U.S. Senate,,Chuck Grassley,,county,Bremer,6811
U.S. Senate,,John Heiderscheit,,county,Bremer,188
U.S. Senate,,Write-in,,county,Bremer,8
U.S. Senate,,Over Votes,,county,Bremer,1
U.S. Senate,,Under Votes,,county,Bremer,93
U.S. Senate,,Total,,county,Bremer,9916
U.S. Senate,,Roxanne Conlin,,county,Buchanan,2446
U.S. Senate,,Chuck Grassley,,county,Buchanan,5291
U.S. Senate,,John Heiderscheit,,county,Buchanan,150
U.S. Senate,,Write-in,,county,Buchanan,3
U.S. Senate,,Over Votes,,county,Buchanan,2
U.S. Senate,,Under Votes,,county,Buchanan,119
U.S. Senate,,Total,,county,Buchanan,8011
U.S. Senate,,Roxanne Conlin,,county,Buena Vista,1239
U.S. Senate,,Chuck Grassley,,county,Buena Vista,4237
U.S. Senate,,John Heiderscheit,,county,Buena Vista,110
U.S. Senate,,Write-in,,county,Buena Vista,4
U.S. Senate,,Over Votes,,county,Buena Vista,2
U.S. Senate,,Under Votes,,county,Buena Vista,77
U.S. Senate,,Total,,county,Buena Vista,5669
U.S. Senate,,Roxanne Conlin,,county,Butler,1258
U.S. Senate,,Chuck Grassley,,county,Butler,4339
U.S. Senate,,John Heiderscheit,,county,Butler,106
U.S. Senate,,Write-in,,county,Butler,1
U.S. Senate,,Over Votes,,county,Butler,0
U.S. Senate,,Under Votes,,county,Butler,44
U.S. Senate,,Total,,county,Butler,5748
U.S. Senate,,Roxanne Conlin,,county,Calhoun,964
U.S. Senate,,Chuck Grassley,,county,Calhoun,2971
U.S. Senate,,John Heiderscheit,,county,Calhoun,65
U.S. Senate,,Write-in,,county,Calhoun,6
U.S. Senate,,Over Votes,,county,Calhoun,1
U.S. Senate,,Under Votes,,county,Calhoun,66
U.S. Senate,,Total,,county,Calhoun,4073
U.S. Senate,,Roxanne Conlin,,county,Carroll,2312
U.S. Senate,,Chuck Grassley,,county,Carroll,5731
U.S. Senate,,John Heiderscheit,,county,Carroll,157
U.S. Senate,,Write-in,,county,Carroll,10
U.S. Senate,,Over Votes,,county,Carroll,1
U.S. Senate,,Under Votes,,county,Carroll,232
U.S. Senate,,Total,,county,Carroll,8443
U.S. Senate,,Roxanne Conlin,,county,Cass,1154
U.S. Senate,,Chuck Grassley,,county,Cass,3930
U.S. Senate,,John Heiderscheit,,county,Cass,107
U.S. Senate,,Write-in,,county,Cass,5
U.S. Senate,,Over Votes,,county,Cass,0
U.S. Senate,,Under Votes,,county,Cass,98
U.S. Senate,,Total,,county,Cass,5294
U.S. Senate,,Roxanne Conlin,,county,Cedar,2148
U.S. Senate,,Chuck Grassley,,county,Cedar,4660
U.S. Senate,,John Heiderscheit,,county,Cedar,206
U.S. Senate,,Write-in,,county,Cedar,3
U.S. Senate,,Over Votes,,county,Cedar,0
U.S. Senate,,Under Votes,,county,Cedar,127
U.S. Senate,,Total,,county,Cedar,7144
U.S. Senate,,Roxanne Conlin,,county,Cerro Gordo,6440
U.S. Senate,,Chuck Grassley,,county,Cerro Gordo,10421
U.S. Senate,,John Heiderscheit,,county,Cerro Gordo,360
U.S. Senate,,Write-in,,county,Cerro Gordo,6
U.S. Senate,,Over Votes,,county,Cerro Gordo,7
U.S. Senate,,Under Votes,,county,Cerro Gordo,258
U.S. Senate,,Total,,county,Cerro Gordo,17492
U.S. Senate,,Roxanne Conlin,,county,Cherokee,1001
U.S. Senate,,Chuck Grassley,,county,Cherokee,3632
U.S. Senate,,John Heiderscheit,,county,Cherokee,89
U.S. Senate,,Write-in,,county,Cherokee,2
U.S. Senate,,Over Votes,,county,Cherokee,1
U.S. Senate,,Under Votes,,county,Cherokee,61
U.S. Senate,,Total,,county,Cherokee,4786
U.S. Senate,,Roxanne Conlin,,county,Chickasaw,1508
U.S. Senate,,Chuck Grassley,,county,Chickasaw,3331
U.S. Senate,,John Heiderscheit,,county,Chickasaw,99
U.S. Senate,,Write-in,,county,Chickasaw,1
U.S. Senate,,Over Votes,,county,Chickasaw,0
U.S. Senate,,Under Votes,,county,Chickasaw,83
U.S. Senate,,Total,,county,Chickasaw,5022
U.S. Senate,,Roxanne Conlin,,county,Clarke,1041
U.S. Senate,,Chuck Grassley,,county,Clarke,2551
U.S. Senate,,John Heiderscheit,,county,Clarke,98
U.S. Senate,,Write-in,,county,Clarke,3
U.S. Senate,,Over Votes,,county,Clarke,2
U.S. Senate,,Under Votes,,county,Clarke,85
U.S. Senate,,Total,,county,Clarke,3780
U.S. Senate,,Roxanne Conlin,,county,Clay,1369
U.S. Senate,,Chuck Grassley,,county,Clay,4254
U.S. Senate,,John Heiderscheit,,county,Clay,146
U.S. Senate,,Write-in,,county,Clay,2
U.S. Senate,,Over Votes,,county,Clay,2
U.S. Senate,,Under Votes,,county,Clay,65
U.S. Senate,,Total,,county,Clay,5838
U.S. Senate,,Roxanne Conlin,,county,Clayton,2106
U.S. Senate,,Chuck Grassley,,county,Clayton,4632
U.S. Senate,,John Heiderscheit,,county,Clayton,211
U.S. Senate,,Write-in,,county,Clayton,2
U.S. Senate,,Over Votes,,county,Clayton,0
U.S. Senate,,Under Votes,,county,Clayton,114
U.S. Senate,,Total,,county,Clayton,7065
U.S. Senate,,Roxanne Conlin,,county,Clinton,6600
U.S. Senate,,Chuck Grassley,,county,Clinton,10189
U.S. Senate,,John Heiderscheit,,county,Clinton,409
U.S. Senate,,Write-in,,county,Clinton,10
U.S. Senate,,Over Votes,,county,Clinton,6
U.S. Senate,,Under Votes,,county,Clinton,210
U.S. Senate,,Total,,county,Clinton,17424
U.S. Senate,,Roxanne Conlin,,county,Crawford,1201
U.S. Senate,,Chuck Grassley,,county,Crawford,3749
U.S. Senate,,John Heiderscheit,,county,Crawford,126
U.S. Senate,,Write-in,,county,Crawford,2
U.S. Senate,,Over Votes,,county,Crawford,3
U.S. Senate,,Under Votes,,county,Crawford,182
U.S. Senate,,Total,,county,Crawford,5263
U.S. Senate,,Roxanne Conlin,,county,Dallas,6736
U.S. Senate,,Chuck Grassley,,county,Dallas,18126
U.S. Senate,,John Heiderscheit,,county,Dallas,582
U.S. Senate,,Write-in,,county,Dallas,29
U.S. Senate,,Over Votes,,county,Dallas,5
U.S. Senate,,Under Votes,,county,Dallas,251
U.S. Senate,,Total,,county,Dallas,25729
U.S. Senate,,Roxanne Conlin,,county,Davis,907
U.S. Senate,,Chuck Grassley,,county,Davis,2042
U.S. Senate,,John Heiderscheit,,county,Davis,125
U.S. Senate,,Write-in,,county,Davis,5
U.S. Senate,,Over Votes,,county,Davis,2
