Precinct,Stan Gustafson,Pam Deichmann,OVER VOTE,UNDER VOTE,SCATTERING,TOTAL
Absentee Precinct,385,75,0,0,8,468
EARLHAM COMMUNITY CTR,99,36,0,0,0,135
JACKSON BLDG (N END),64,29,0,0,0,93
JACKSON BLDG (S END),45,31,0,0,3,79
LEE TOWNSHIP SCHOOL,51,20,0,0,0,71
NORTHWARD PLAZA,75,71,0,0,0,146
ST. CHARLES PARISH HALL,65,46,0,0,0,111
TRURO COMMUNITY CENTER,43,24,0,0,0,67
VFW,97,75,0,0,0,172
WRC,36,8,0,0,0,44
TOTAL,960,415,0,0,11,1386
