Precinct,Stan Gustafson,Pam Deichmann,OVER VOTE,UNDER VOTE,SCATTERING,TOTAL
Absentee Precinct,258,35,0,0,0,293
ANNETT NATURE CENTER,41,14,0,0,0,55
MARTENSDALE-ST MARYS SCHOOL,0,0,0,0,0,0
MEDORA CHURCH,31,9,0,0,0,40
NEW LIFE LUTHERAN CHURCH,72,47,0,0,0,119
NEW VIRGINIA LIONS HALL,38,35,0,0,0,73
NORWALK LIBRARY,32,23,0,0,0,55
NORWALK POLICE STATION,43,23,0,0,1,67
ST AUGUSTINE CHURCH,46,19,0,0,0,65
ST MARYS AM LEGION HALL,28,22,0,0,2,52
ST. JOHN CHURCH,78,52,0,0,0,130
TOTAL,667,279,0,0,3,949
