office,district,party,reporting_level,jurisdiction,county,county_num,votes
IOWA HOUSE,78,DEM,precinct,ABS & SP BALLOTS HSE 78,ADAIR,1,263
IOWA HOUSE,78,REP,precinct,ABS & SP BALLOTS HSE 78,ADAIR,1,404
PRESIDENT,,DEM,precinct,ABSENTEE & SPECIAL BALLOTS,ADAIR,1,285
PRESIDENT,,REP,precinct,ABSENTEE & SPECIAL BALLOTS,ADAIR,1,387
PRESIDENT,,GREEN,precinct,ABSENTEE & SPECIAL BALLOTS,ADAIR,1,4
PRESIDENT,,SC,precinct,ABSENTEE & SPECIAL BALLOTS,ADAIR,1,3
U.S REPRESENTATIVE,4,DEM,precinct,ABSENTEE & SPECIAL BALLOTS,ADAIR,1,182
U.S REPRESENTATIVE,4,REP,precinct,ABSENTEE & SPECIAL BALLOTS,ADAIR,1,460
U.S REPRESENTATIVE,4,SC,precinct,ABSENTEE & SPECIAL BALLOTS,ADAIR,1,4
CONST. QUES,,YES,precinct,ABSENTEE & SPECIAL BALLOTS,ADAIR,1,110
CONST. QUES,,NO,precinct,ABSENTEE & SPECIAL BALLOTS,ADAIR,1,363
PRESIDENT,,DEM,precinct,ADAIR SUMMIT,ADAIR,1,190
PRESIDENT,,REP,precinct,ADAIR SUMMIT,ADAIR,1,205
PRESIDENT,,GREEN,precinct,ADAIR SUMMIT,ADAIR,1,7
PRESIDENT,,SC,precinct,ADAIR SUMMIT,ADAIR,1,1
U.S REPRESENTATIVE,4,DEM,precinct,ADAIR SUMMIT,ADAIR,1,104
U.S REPRESENTATIVE,4,REP,precinct,ADAIR SUMMIT,ADAIR,1,283
U.S REPRESENTATIVE,4,SC,precinct,ADAIR SUMMIT,ADAIR,1,8
CONST. QUES,,YES,precinct,ADAIR SUMMIT,ADAIR,1,101
CONST. QUES,,NO,precinct,ADAIR SUMMIT,ADAIR,1,205
IOWA HOUSE,78,DEM,precinct,ADAIR SUMMIT,ADAIR,1,167
IOWA HOUSE,78,REP,precinct,ADAIR SUMMIT,ADAIR,1,232
PRESIDENT,,DEM,precinct,BRIDGEWATER JACKSON WASH PART RICH,ADAIR,1,122
PRESIDENT,,REP,precinct,BRIDGEWATER JACKSON WASH PART RICH,ADAIR,1,156
PRESIDENT,,GREEN,precinct,BRIDGEWATER JACKSON WASH PART RICH,ADAIR,1,8
PRESIDENT,,SC,precinct,BRIDGEWATER JACKSON WASH PART RICH,ADAIR,1,2
U.S REPRESENTATIVE,4,DEM,precinct,BRIDGEWATER JACKSON WASH PART RICH,ADAIR,1,81
U.S REPRESENTATIVE,4,REP,precinct,BRIDGEWATER JACKSON WASH PART RICH,ADAIR,1,192
U.S REPRESENTATIVE,4,SC,precinct,BRIDGEWATER JACKSON WASH PART RICH,ADAIR,1,6
CONST. QUES,,YES,precinct,BRIDGEWATER JACKSON WASH PART RICH,ADAIR,1,53
CONST. QUES,,NO,precinct,BRIDGEWATER JACKSON WASH PART RICH,ADAIR,1,152
