office,candidate,party,county,votes
President,Gore / Lieberman,Democratic,Adair,1753
President,Bush / Cheney,Republican,Adair,2275
President,Browne / Olivier,Libertarian Party of Iowa,Adair,4
President,Nader / Laduke,Iowa Green Party,Adair,66
President,Buchanan / Foster,Reform Party,Adair,14
President,Harris / Trowe,Socialist Workers,Adair,0
President,Phillips / Frazier,Constitution,Adair,3
President,McReynolds / Hollis,Socialist Party USA,Adair,1
President,Hagelin / Goldhaber,Nominated by Petition,Adair,5
President,Scattering,,Adair,2
President,Totals,,Adair,4123
President,Gore / Lieberman,Democratic,Adams,897
President,Bush / Cheney,Republican,Adams,1170
President,Browne / Olivier,Libertarian Party of Iowa,Adams,4
President,Nader / Laduke,Iowa Green Party,Adams,51
President,Buchanan / Foster,Reform Party,Adams,16
President,Harris / Trowe,Socialist Workers,Adams,1
President,Phillips / Frazier,Constitution,Adams,0
President,McReynolds / Hollis,Socialist Party USA,Adams,1
President,Hagelin / Goldhaber,Nominated by Petition,Adams,3
President,Scattering,,Adams,2
President,Totals,,Adams,2145
President,Gore / Lieberman,Democratic,Allamakee,2883
President,Bush / Cheney,Republican,Allamakee,3277
President,Browne / Olivier,Libertarian Party of Iowa,Allamakee,13
President,Nader / Laduke,Iowa Green Party,Allamakee,199
President,Buchanan / Foster,Reform Party,Allamakee,68
President,Harris / Trowe,Socialist Workers,Allamakee,2
President,Phillips / Frazier,Constitution,Allamakee,4
President,McReynolds / Hollis,Socialist Party USA,Allamakee,1
President,Hagelin / Goldhaber,Nominated by Petition,Allamakee,8
President,Scattering,,Allamakee,7
President,Totals,,Allamakee,6462
President,Gore / Lieberman,Democratic,Appanoose,2560
President,Bush / Cheney,Republican,Appanoose,2992
President,Browne / Olivier,Libertarian Party of Iowa,Appanoose,15
President,Nader / Laduke,Iowa Green Party,Appanoose,105
President,Buchanan / Foster,Reform Party,Appanoose,18
President,Harris / Trowe,Socialist Workers,Appanoose,2
President,Phillips / Frazier,Constitution,Appanoose,7
President,McReynolds / Hollis,Socialist Party USA,Appanoose,0
President,Hagelin / Goldhaber,Nominated by Petition,Appanoose,3
President,Scattering,,Appanoose,2
President,Totals,,Appanoose,5704
President,Gore / Lieberman,Democratic,Audubon,1780
President,Bush / Cheney,Republican,Audubon,1909
President,Browne / Olivier,Libertarian Party of Iowa,Audubon,6
President,Nader / Laduke,Iowa Green Party,Audubon,56
President,Buchanan / Foster,Reform Party,Audubon,23
President,Harris / Trowe,Socialist Workers,Audubon,0
President,Phillips / Frazier,Constitution,Audubon,2
President,McReynolds / Hollis,Socialist Party USA,Audubon,0
President,Hagelin / Goldhaber,Nominated by Petition,Audubon,3
President,Scattering,,Audubon,5
President,Totals,,Audubon,3784
President,Gore / Lieberman,Democratic,Benton,5915
President,Bush / Cheney,Republican,Benton,5468
President,Browne / Olivier,Libertarian Party of Iowa,Benton,25
President,Nader / Laduke,Iowa Green Party,Benton,231
President,Buchanan / Foster,Reform Party,Benton,95
President,Harris / Trowe,Socialist Workers,Benton,2
President,Phillips / Frazier,Constitution,Benton,3
President,McReynolds / Hollis,Socialist Party USA,Benton,2
President,Hagelin / Goldhaber,Nominated by Petition,Benton,13
President,Scattering,,Benton,12
President,Totals,,Benton,11766
President,Gore / Lieberman,Democratic,Black Hawk,30112
President,Bush / Cheney,Republican,Black Hawk,23468
President,Browne / Olivier,Libertarian Party of Iowa,Black Hawk,107
President,Nader / Laduke,Iowa Green Party,Black Hawk,1132
President,Buchanan / Foster,Reform Party,Black Hawk,163
President,Harris / Trowe,Socialist Workers,Black Hawk,2
President,Phillips / Frazier,Constitution,Black Hawk,19
President,McReynolds / Hollis,Socialist Party USA,Black Hawk,0
President,Hagelin / Goldhaber,Nominated by Petition,Black Hawk,21
President,Scattering,,Black Hawk,61
President,Totals,,Black Hawk,55085
President,Gore / Lieberman,Democratic,Boone,6270
President,Bush / Cheney,Republican,Boone,5625
President,Browne / Olivier,Libertarian Party of Iowa,Boone,15
President,Nader / Laduke,Iowa Green Party,Boone,252
President,Buchanan / Foster,Reform Party,Boone,46
President,Harris / Trowe,Socialist Workers,Boone,1
President,Phillips / Frazier,Constitution,Boone,14
President,McReynolds / Hollis,Socialist Party USA,Boone,0
President,Hagelin / Goldhaber,Nominated by Petition,Boone,9
President,Scattering,,Boone,17
President,Totals,,Boone,12249
President,Gore / Lieberman,Democratic,Bremer,5169
President,Bush / Cheney,Republican,Bremer,5675
President,Browne / Olivier,Libertarian Party of Iowa,Bremer,17
President,Nader / Laduke,Iowa Green Party,Bremer,260
President,Buchanan / Foster,Reform Party,Bremer,28
President,Harris / Trowe,Socialist Workers,Bremer,0
President,Phillips / Frazier,Constitution,Bremer,3
President,McReynolds / Hollis,Socialist Party USA,Bremer,2
President,Hagelin / Goldhaber,Nominated by Petition,Bremer,7
President,Scattering,,Bremer,14
President,Totals,,Bremer,11175
President,Gore / Lieberman,Democratic,Buchanan,5045
President,Bush / Cheney,Republican,Buchanan,4092
President,Browne / Olivier,Libertarian Party of Iowa,Buchanan,19
President,Nader / Laduke,Iowa Green Party,Buchanan,171
