office,candidate,party,county,votes
President/Vice President,Clinton / Gore,Democratic,ADAIR,1802
President/Vice President,Perot / Campbell,Reform,ADAIR,458
President/Vice President,Nader / Goeke,Green,ADAIR,5
President/Vice President,Dole / Kemp,Republican,ADAIR,1655
President/Vice President,Phillips / Knight Jr.,Taxpayer,ADAIR,9
President/Vice President,Browne / Jorgensen,Libertarian,ADAIR,1
President/Vice President,Harris / Garza,Socialist Workers,ADAIR,0
President/Vice President,Total,,ADAIR,3935
President/Vice President,Scattering,,ADAIR,3
President/Vice President,Hagelin / Tompkins,Natural Law,ADAIR,2
President/Vice President,Clinton / Gore,Democratic,ADAMS,1070
President/Vice President,Perot / Campbell,Reform,ADAMS,320
President/Vice President,Nader / Goeke,Green,ADAMS,4
President/Vice President,Dole / Kemp,Republican,ADAMS,920
President/Vice President,Phillips / Knight Jr.,Taxpayer,ADAMS,2
President/Vice President,Browne / Jorgensen,Libertarian,ADAMS,8
President/Vice President,Harris / Garza,Socialist Workers,ADAMS,0
President/Vice President,Total,,ADAMS,2326
President/Vice President,Scattering,,ADAMS,0
President/Vice President,Hagelin / Tompkins,Natural Law,ADAMS,2
President/Vice President,Clinton / Gore,Democratic,ALLAMAKEE,2551
President/Vice President,Perot / Campbell,Reform,ALLAMAKEE,680
President/Vice President,Nader / Goeke,Green,ALLAMAKEE,28
President/Vice President,Dole / Kemp,Republican,ALLAMAKEE,2457
President/Vice President,Phillips / Knight Jr.,Taxpayer,ALLAMAKEE,47
President/Vice President,Browne / Jorgensen,Libertarian,ALLAMAKEE,7
President/Vice President,Harris / Garza,Socialist Workers,ALLAMAKEE,1
President/Vice President,Total,,ALLAMAKEE,5781
President/Vice President,Scattering,,ALLAMAKEE,0
President/Vice President,Hagelin / Tompkins,Natural Law,ALLAMAKEE,10
President/Vice President,Clinton / Gore,Democratic,APPANOOSE,2747
President/Vice President,Perot / Campbell,Reform,APPANOOSE,554
President/Vice President,Nader / Goeke,Green,APPANOOSE,12
President/Vice President,Dole / Kemp,Republican,APPANOOSE,2233
President/Vice President,Phillips / Knight Jr.,Taxpayer,APPANOOSE,26
President/Vice President,Browne / Jorgensen,Libertarian,APPANOOSE,10
President/Vice President,Harris / Garza,Socialist Workers,APPANOOSE,3
President/Vice President,Total,,APPANOOSE,5592
President/Vice President,Scattering,,APPANOOSE,1
President/Vice President,Hagelin / Tompkins,Natural Law,APPANOOSE,6
President/Vice President,Clinton / Gore,Democratic,AUDUBON,1827
President/Vice President,Perot / Campbell,Reform,AUDUBON,314
President/Vice President,Nader / Goeke,Green,AUDUBON,8
President/Vice President,Dole / Kemp,Republican,AUDUBON,1314
President/Vice President,Phillips / Knight Jr.,Taxpayer,AUDUBON,13
President/Vice President,Browne / Jorgensen,Libertarian,AUDUBON,4
President/Vice President,Harris / Garza,Socialist Workers,AUDUBON,2
President/Vice President,Total,,AUDUBON,3488
President/Vice President,Scattering,,AUDUBON,0
President/Vice President,Hagelin / Tompkins,Natural Law,AUDUBON,6
President/Vice President,Clinton / Gore,Democratic,BENTON,5546
President/Vice President,Perot / Campbell,Reform,BENTON,846
President/Vice President,Nader / Goeke,Green,BENTON,13
President/Vice President,Dole / Kemp,Republican,BENTON,3835
President/Vice President,Phillips / Knight Jr.,Taxpayer,BENTON,10
President/Vice President,Browne / Jorgensen,Libertarian,BENTON,8
President/Vice President,Harris / Garza,Socialist Workers,BENTON,3
President/Vice President,Total,,BENTON,10279
President/Vice President,Scattering,,BENTON,7
President/Vice President,Hagelin / Tompkins,Natural Law,BENTON,11
President/Vice President,Clinton / Gore,Democratic,BLACK HAWK,29651
President/Vice President,Perot / Campbell,Reform,BLACK HAWK,3623
President/Vice President,Nader / Goeke,Green,BLACK HAWK,253
President/Vice President,Dole / Kemp,Republican,BLACK HAWK,19322
President/Vice President,Phillips / Knight Jr.,Taxpayer,BLACK HAWK,32
President/Vice President,Browne / Jorgensen,Libertarian,BLACK HAWK,106
President/Vice President,Harris / Garza,Socialist Workers,BLACK HAWK,10
President/Vice President,Total,,BLACK HAWK,53109
President/Vice President,Scattering,,BLACK HAWK,76
President/Vice President,Hagelin / Tompkins,Natural Law,BLACK HAWK,36
President/Vice President,Clinton / Gore,Democratic,BOONE,6446
President/Vice President,Perot / Campbell,Reform,BOONE,987
President/Vice President,Nader / Goeke,Green,BOONE,58
President/Vice President,Dole / Kemp,Republican,BOONE,4293
President/Vice President,Phillips / Knight Jr.,Taxpayer,BOONE,16
President/Vice President,Browne / Jorgensen,Libertarian,BOONE,12
President/Vice President,Harris / Garza,Socialist Workers,BOONE,0
President/Vice President,Total,,BOONE,11835
President/Vice President,Scattering,,BOONE,10
President/Vice President,Hagelin / Tompkins,Natural Law,BOONE,13
President/Vice President,Clinton / Gore,Democratic,BREMER,5023
President/Vice President,Perot / Campbell,Reform,BREMER,862
President/Vice President,Nader / Goeke,Green,BREMER,33
President/Vice President,Dole / Kemp,Republican,BREMER,4213
President/Vice President,Phillips / Knight Jr.,Taxpayer,BREMER,10
President/Vice President,Browne / Jorgensen,Libertarian,BREMER,13
President/Vice President,Harris / Garza,Socialist Workers,BREMER,2
President/Vice President,Total,,BREMER,10172
President/Vice President,Scattering,,BREMER,2
President/Vice President,Hagelin / Tompkins,Natural Law,BREMER,14
President/Vice President,Clinton / Gore,Democratic,BUCHANAN,4997
President/Vice President,Perot / Campbell,Reform,BUCHANAN,836
President/Vice President,Nader / Goeke,Green,BUCHANAN,20
President/Vice President,Dole / Kemp,Republican,BUCHANAN,3043
President/Vice President,Phillips / Knight Jr.,Taxpayer,BUCHANAN,7
President/Vice President,Browne / Jorgensen,Libertarian,BUCHANAN,13
President/Vice President,Harris / Garza,Socialist Workers,BUCHANAN,2
President/Vice President,Total,,BUCHANAN,8951
President/Vice President,Scattering,,BUCHANAN,14
President/Vice President,Hagelin / Tompkins,Natural Law,BUCHANAN,19
President/Vice President,Clinton / Gore,Democratic,BUENA VISTA,3420
President/Vice President,Perot / Campbell,Reform,BUENA VISTA,831
President/Vice President,Nader / Goeke,Green,BUENA VISTA,19
President/Vice President,Dole / Kemp,Republican,BUENA VISTA,3636
President/Vice President,Phillips / Knight Jr.,Taxpayer,BUENA VISTA,24
President/Vice President,Browne / Jorgensen,Libertarian,BUENA VISTA,14
President/Vice President,Harris / Garza,Socialist Workers,BUENA VISTA,4
President/Vice President,Total,,BUENA VISTA,7965
President/Vice President,Scattering,,BUENA VISTA,5
President/Vice President,Hagelin / Tompkins,Natural Law,BUENA VISTA,12
President/Vice President,Clinton / Gore,Democratic,BUTLER,3061
President/Vice President,Perot / Campbell,Reform,BUTLER,489
President/Vice President,Nader / Goeke,Green,BUTLER,12
President/Vice President,Dole / Kemp,Republican,BUTLER,3036
President/Vice President,Phillips / Knight Jr.,Taxpayer,BUTLER,7
President/Vice President,Browne / Jorgensen,Libertarian,BUTLER,12
President/Vice President,Harris / Garza,Socialist Workers,BUTLER,6
President/Vice President,Total,,BUTLER,6631
President/Vice President,Scattering,,BUTLER,0
President/Vice President,Hagelin / Tompkins,Natural Law,BUTLER,8
President/Vice President,Clinton / Gore,Democratic,CALHOUN,2193
President/Vice President,Perot / Campbell,Reform,CALHOUN,462
President/Vice President,Nader / Goeke,Green,CALHOUN,16
President/Vice President,Dole / Kemp,Republican,CALHOUN,2077
President/Vice President,Phillips / Knight Jr.,Taxpayer,CALHOUN,16
President/Vice President,Browne / Jorgensen,Libertarian,CALHOUN,7
President/Vice President,Harris / Garza,Socialist Workers,CALHOUN,1
President/Vice President,Total,,CALHOUN,4779
President/Vice President,Scattering,,CALHOUN,0
President/Vice President,Hagelin / Tompkins,Natural Law,CALHOUN,7
President/Vice President,Clinton / Gore,Democratic,CARROLL,4333
President/Vice President,Perot / Campbell,Reform,CARROLL,998
President/Vice President,Nader / Goeke,Green,CARROLL,20
President/Vice President,Dole / Kemp,Republican,CARROLL,3392
President/Vice President,Phillips / Knight Jr.,Taxpayer,CARROLL,15
President/Vice President,Browne / Jorgensen,Libertarian,CARROLL,5
President/Vice President,Harris / Garza,Socialist Workers,CARROLL,2
President/Vice President,Total,,CARROLL,8790
President/Vice President,Scattering,,CARROLL,14
President/Vice President,Hagelin / Tompkins,Natural Law,CARROLL,11
President/Vice President,Clinton / Gore,Democratic,CASS,2616
President/Vice President,Perot / Campbell,Reform,CASS,809
President/Vice President,Nader / Goeke,Green,CASS,15
President/Vice President,Dole / Kemp,Republican,CASS,3384
President/Vice President,Phillips / Knight Jr.,Taxpayer,CASS,15
President/Vice President,Browne / Jorgensen,Libertarian,CASS,15
President/Vice President,Harris / Garza,Socialist Workers,CASS,0
President/Vice President,Total,,CASS,6865
President/Vice President,Scattering,,CASS,3
President/Vice President,Hagelin / Tompkins,Natural Law,CASS,8
President/Vice President,Clinton / Gore,Democratic,CEDAR,3856
