office,district,candidate,party,reporting_level,jurisdiction,precinct_code,county,votes
State Senate,35,John Calhoun,DEM,precinct,DES MOINES 4,0004,Polk,0
State Senate,35,Jack Whitver,REP,precinct,DES MOINES 4,0004,Polk,0
State Senate,35,WRITE-IN,,precinct,DES MOINES 4,0004,Polk,0
State Senate,35,OVER VOTES,,precinct,DES MOINES 4,0004,Polk,0
State Senate,35,UNDERVOTES,,precinct,DES MOINES 4,0004,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ALLEMAN 1,0401,Polk,26
State Senate,35,Jack Whitver,REP,precinct,ALLEMAN 1,0401,Polk,115
State Senate,35,WRITE-IN,,precinct,ALLEMAN 1,0401,Polk,0
State Senate,35,OVER VOTES,,precinct,ALLEMAN 1,0401,Polk,0
State Senate,35,UNDERVOTES,,precinct,ALLEMAN 1,0401,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ANKENY 1,0416,Polk,113
State Senate,35,Jack Whitver,REP,precinct,ANKENY 1,0416,Polk,270
State Senate,35,WRITE-IN,,precinct,ANKENY 1,0416,Polk,1
State Senate,35,OVER VOTES,,precinct,ANKENY 1,0416,Polk,0
State Senate,35,UNDERVOTES,,precinct,ANKENY 1,0416,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ANKENY 2,0417,Polk,75
State Senate,35,Jack Whitver,REP,precinct,ANKENY 2,0417,Polk,123
State Senate,35,WRITE-IN,,precinct,ANKENY 2,0417,Polk,0
State Senate,35,OVER VOTES,,precinct,ANKENY 2,0417,Polk,0
State Senate,35,UNDERVOTES,,precinct,ANKENY 2,0417,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ANKENY 3,0418,Polk,133
State Senate,35,Jack Whitver,REP,precinct,ANKENY 3,0418,Polk,181
State Senate,35,WRITE-IN,,precinct,ANKENY 3,0418,Polk,0
State Senate,35,OVER VOTES,,precinct,ANKENY 3,0418,Polk,0
State Senate,35,UNDERVOTES,,precinct,ANKENY 3,0418,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ANKENY 4,0419,Polk,103
State Senate,35,Jack Whitver,REP,precinct,ANKENY 4,0419,Polk,162
State Senate,35,WRITE-IN,,precinct,ANKENY 4,0419,Polk,0
State Senate,35,OVER VOTES,,precinct,ANKENY 4,0419,Polk,0
State Senate,35,UNDERVOTES,,precinct,ANKENY 4,0419,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ANKENY 5,0420,Polk,103
State Senate,35,Jack Whitver,REP,precinct,ANKENY 5,0420,Polk,193
State Senate,35,WRITE-IN,,precinct,ANKENY 5,0420,Polk,0
State Senate,35,OVER VOTES,,precinct,ANKENY 5,0420,Polk,0
State Senate,35,UNDERVOTES,,precinct,ANKENY 5,0420,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ANKENY 6,0421,Polk,70
State Senate,35,Jack Whitver,REP,precinct,ANKENY 6,0421,Polk,140
State Senate,35,WRITE-IN,,precinct,ANKENY 6,0421,Polk,0
State Senate,35,OVER VOTES,,precinct,ANKENY 6,0421,Polk,0
State Senate,35,UNDERVOTES,,precinct,ANKENY 6,0421,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ANKENY 7,0422,Polk,79
State Senate,35,Jack Whitver,REP,precinct,ANKENY 7,0422,Polk,130
State Senate,35,WRITE-IN,,precinct,ANKENY 7,0422,Polk,0
State Senate,35,OVER VOTES,,precinct,ANKENY 7,0422,Polk,0
State Senate,35,UNDERVOTES,,precinct,ANKENY 7,0422,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ANKENY 8,0423,Polk,97
State Senate,35,Jack Whitver,REP,precinct,ANKENY 8,0423,Polk,139
State Senate,35,WRITE-IN,,precinct,ANKENY 8,0423,Polk,0
State Senate,35,OVER VOTES,,precinct,ANKENY 8,0423,Polk,0
State Senate,35,UNDERVOTES,,precinct,ANKENY 8,0423,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ANKENY 9,0424,Polk,86
State Senate,35,Jack Whitver,REP,precinct,ANKENY 9,0424,Polk,139
State Senate,35,WRITE-IN,,precinct,ANKENY 9,0424,Polk,0
State Senate,35,OVER VOTES,,precinct,ANKENY 9,0424,Polk,0
State Senate,35,UNDERVOTES,,precinct,ANKENY 9,0424,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ANKENY 10,0425,Polk,84
State Senate,35,Jack Whitver,REP,precinct,ANKENY 10,0425,Polk,190
State Senate,35,WRITE-IN,,precinct,ANKENY 10,0425,Polk,0
State Senate,35,OVER VOTES,,precinct,ANKENY 10,0425,Polk,0
State Senate,35,UNDERVOTES,,precinct,ANKENY 10,0425,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ANKENY 11,0426,Polk,88
State Senate,35,Jack Whitver,REP,precinct,ANKENY 11,0426,Polk,134
State Senate,35,WRITE-IN,,precinct,ANKENY 11,0426,Polk,0
State Senate,35,OVER VOTES,,precinct,ANKENY 11,0426,Polk,0
State Senate,35,UNDERVOTES,,precinct,ANKENY 11,0426,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ANKENY 12,0427,Polk,113
State Senate,35,Jack Whitver,REP,precinct,ANKENY 12,0427,Polk,166
State Senate,35,WRITE-IN,,precinct,ANKENY 12,0427,Polk,1
State Senate,35,OVER VOTES,,precinct,ANKENY 12,0427,Polk,O
State Senate,35,UNDERVOTES,,precinct,ANKENY 12,0427,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ANKENY 1,0445,Polk,220
State Senate,35,Jack Whitver,REP,precinct,ANKENY 1,0445,Polk,283
State Senate,35,WRITE-IN,,precinct,ANKENY 1,0445,Polk,0
State Senate,35,OVER VOTES,,precinct,ANKENY 1,0445,Polk,0
State Senate,35,UNDERVOTES,,precinct,ANKENY 1,0445,Polk,[1
State Senate,35,John Calhoun,DEM,precinct,DOUGLAS 1,0455,Polk,32
State Senate,35,Jack Whitver,REP,precinct,DOUGLAS 1,0455,Polk,82
State Senate,35,WRITE-IN,,precinct,DOUGLAS 1,0455,Polk,0
State Senate,35,OVER VOTES,,precinct,DOUGLAS 1,0455,Polk,0
State Senate,35,UNDERVOTES,,precinct,DOUGLAS 1,0455,Polk,0
State Senate,35,John Calhoun,DEM,precinct,ELKHART 1,0461,Polk,51
State Senate,35,Jack Whitver,REP,precinct,ELKHART 1,0461,Polk,103
State Senate,35,WRITE-IN,,precinct,ELKHART 1,0461,Polk,0
State Senate,35,OVER VOTES,,precinct,ELKHART 1,0461,Polk,0
State Senate,35,UNDERVOTES,,precinct,ELKHART 1,0461,Polk,0
State Senate,35,John Calhoun,DEM,precinct,FRANKLIN 1,0471,Polk,47
State Senate,35,Jack Whitver,REP,precinct,FRANKLIN 1,0471,Polk,76
State Senate,35,WRITE-IN,,precinct,FRANKLIN 1,0471,Polk,1
State Senate,35,OVER VOTES,,precinct,FRANKLIN 1,0471,Polk,O
State Senate,35,UNDERVOTES,,precinct,FRANKLIN 1,0471,Polk,0
State Senate,35,John Calhoun,DEM,precinct,GRIMES 1,0475,Polk,39
State Senate,35,Jack Whitver,REP,precinct,GRIMES 1,0475,Polk,87
State Senate,35,WRITE-IN,,precinct,GRIMES 1,0475,Polk,1
State Senate,35,OVER VOTES,,precinct,GRIMES 1,0475,Polk,0
State Senate,35,UNDERVOTES,,precinct,GRIMES 1,0475,Polk,0
State Senate,35,John Calhoun,DEM,precinct,GRIMES 2,0475,Polk,46
State Senate,35,Jack Whitver,REP,precinct,GRIMES 2,0475,Polk,117
State Senate,35,WRITE-IN,,precinct,GRIMES 2,0475,Polk,0
State Senate,35,OVER VOTES,,precinct,GRIMES 2,0475,Polk,0
State Senate,35,UNDERVOTES,,precinct,GRIMES 2,0475,Polk,0
State Senate,35,John Calhoun,DEM,precinct,JEFFERSON 1,0481,Polk,89
State Senate,35,Jack Whitver,REP,precinct,JEFFERSON 1,0481,Polk,122
State Senate,35,WRITE-IN,,precinct,JEFFERSON 1,0481,Polk,0
State Senate,35,OVER VOTES,,precinct,JEFFERSON 1,0481,Polk,0
State Senate,35,UNDERVOTES,,precinct,JEFFERSON 1,0481,Polk,0
State Senate,35,John Calhoun,DEM,precinct,JOHNSTON 1,0485,Polk,151
State Senate,35,Jack Whitver,REP,precinct,JOHNSTON 1,0485,Polk,173
State Senate,35,WRITE-IN,,precinct,JOHNSTON 1,0485,Polk,0
State Senate,35,OVER VOTES,,precinct,JOHNSTON 1,0485,Polk,0
State Senate,35,UNDERVOTES,,precinct,JOHNSTON 1,0485,Polk,0
State Senate,35,John Calhoun,DEM,precinct,JOHNSTON 2,0406,Polk,152
State Senate,35,Jack Whitver,REP,precinct,JOHNSTON 2,0406,Polk,165
State Senate,35,WRITE-IN,,precinct,JOHNSTON 2,0406,Polk,0
State Senate,35,OVER VOTES,,precinct,JOHNSTON 2,0406,Polk,0
State Senate,35,UNDERVOTES,,precinct,JOHNSTON 2,0406,Polk,0
State Senate,35,John Calhoun,DEM,precinct,JOHNSTON 3,0487,Polk,218
State Senate,35,Jack Whitver,REP,precinct,JOHNSTON 3,0487,Polk,266
State Senate,35,WRITE-IN,,precinct,JOHNSTON 3,0487,Polk,0
State Senate,35,OVER VOTES,,precinct,JOHNSTON 3,0487,Polk,0
State Senate,35,UNDERVOTES,,precinct,JOHNSTON 3,0487,Polk,0
State Senate,35,John Calhoun,DEM,precinct,POLK CITV 1,0501,Polk,191
State Senate,35,Jack Whitver,REP,precinct,POLK CITV 1,0501,Polk,233
State Senate,35,WRITE-IN,,precinct,POLK CITV 1,0501,Polk,0
State Senate,35,OVER VOTES,,precinct,POLK CITV 1,0501,Polk,0
State Senate,35,UNDERVOTES,,precinct,POLK CITV 1,0501,Polk,O
State Senate,35,John Calhoun,DEM,precinct,SAYLOR 1,0511,Polk,25
State Senate,35,Jack Whitver,REP,precinct,SAYLOR 1,0511,Polk,13
State Senate,35,WRITE-IN,,precinct,SAYLOR 1,0511,Polk,0
State Senate,35,OVER VOTES,,precinct,SAYLOR 1,0511,Polk,0
State Senate,35,UNDERVOTES,,precinct,SAYLOR 1,0511,Polk,0
State Senate,35,John Calhoun,DEM,precinct,SAYLOR 2,0512,Polk,58
State Senate,35,Jack Whitver,REP,precinct,SAYLOR 2,0512,Polk,59
State Senate,35,WRITE-IN,,precinct,SAYLOR 2,0512,Polk,0
State Senate,35,OVER VOTES,,precinct,SAYLOR 2,0512,Polk,0
State Senate,35,UNDERVOTES,,precinct,SAYLOR 2,0512,Polk,0
State Senate,35,John Calhoun,DEM,precinct,SAYLOR 3,0513,Polk,56
State Senate,35,Jack Whitver,REP,precinct,SAYLOR 3,0513,Polk,70
State Senate,35,WRITE-IN,,precinct,SAYLOR 3,0513,Polk,0
State Senate,35,OVER VOTES,,precinct,SAYLOR 3,0513,Polk,0
State Senate,35,UNDERVOTES,,precinct,SAYLOR 3,0513,Polk,0
State Senate,35,John Calhoun,DEM,precinct,SEHLDAHL-UNION 1,0515,Polk,17
State Senate,35,Jack Whitver,REP,precinct,SEHLDAHL-UNION 1,0515,Polk,41
State Senate,35,WRITE-IN,,precinct,SEHLDAHL-UNION 1,0515,Polk,0
State Senate,35,OVER VOTES,,precinct,SEHLDAHL-UNION 1,0515,Polk,0
State Senate,35,UNDERVOTES,,precinct,SEHLDAHL-UNION 1,0515,Polk,0
State Senate,35,John Calhoun,DEM,precinct,WASHINGTON 1,0535,Polk,13
State Senate,35,Jack Whitver,REP,precinct,WASHINGTON 1,0535,Polk,20
State Senate,35,WRITE-IN,,precinct,WASHINGTON 1,0535,Polk,0
State Senate,35,OVER VOTES,,precinct,WASHINGTON 1,0535,Polk,0
State Senate,35,UNDERVOTES,,precinct,WASHINGTON 1,0535,Polk,0
State Senate,35,John Calhoun,DEM,precinct,SPECIAL,0644,Polk,0
State Senate,35,Jack Whitver,REP,precinct,SPECIAL,0644,Polk,2
State Senate,35,WRITE-IN,,precinct,SPECIAL,0644,Polk,0
State Senate,35,OVER VOTES,,precinct,SPECIAL,0644,Polk,0
State Senate,35,UNDERVOTES,,precinct,SPECIAL,0644,Polk,0
State Senate,35,John Calhoun,DEM,precinct,Absentee 1,0645,Polk,164
State Senate,35,Jack Whitver,REP,precinct,Absentee 1,0645,Polk,779
State Senate,35,WRITE-IN,,precinct,Absentee 1,0645,Polk,3
State Senate,35,OVER VOTES,,precinct,Absentee 1,0645,Polk,1
State Senate,35,UNDERVOTES,,precinct,Absentee 1,0645,Polk,0
