office,district,candidate,party,reporting_level,jurisdiction,votes
State Senator,35,John Calhoun,,county,Polk,2739
State Senator,35,Jack Whitver,,county,Polk,4773
State Senator,35,OVER VOTES,,county,Polk,1
State Senator,35,UNDER VOTES,,county,Polk,0
State Senator,35,SCATTERING,,county,Polk,7
State Senator,35,TOTAL,,county,Polk,7520
State Senator,35,John Calhoun,,county,Total,2739
State Senator,35,Jack Whitver,,county,Total,4773
State Senator,35,OVER VOTES,,county,Total,1
State Senator,35,UNDER VOTES,,county,Total,0
State Senator,35,SCATTERING,,county,Total,7
State Senator,35,TOTAL,,county,Total,7520
